Entidad,Homicidios,Fecha
Aguascalientes,1.0,2020-05-24
Baja California,8.0,2020-05-24
Baja California Sur,0.0,2020-05-24
Campeche,0.0,2020-05-24
Chiapas,0.0,2020-05-24
Chihuahua,4.0,2020-05-24
Ciudad de México,2.0,2020-05-24
Coahuila,1.0,2020-05-24
Colima,2.0,2020-05-24
Durango,1.0,2020-05-24
Estado de México,10.0,2020-05-24
Guanajuato,10.0,2020-05-24
Guerrero,3.0,2020-05-24
Hidalgo,0.0,2020-05-24
Jalisco,5.0,2020-05-24
Michoacán,2.0,2020-05-24
Morelos,1.0,2020-05-24
Nayarit,0.0,2020-05-24
Nuevo León,8.0,2020-05-24
Oaxaca,2.0,2020-05-24
Puebla,0.0,2020-05-24
Querétaro,0.0,2020-05-24
Quintana Roo,1.0,2020-05-24
San Luis Potosí,3.0,2020-05-24
Sinaloa,3.0,2020-05-24
Sonora,3.0,2020-05-24
Tabasco,0.0,2020-05-24
Tamaulipas,0.0,2020-05-24
Tlaxcala,1.0,2020-05-24
Veracruz,2.0,2020-05-24
Yucatán,1.0,2020-05-24
Zacatecas,3.0,2020-05-24
Total,77.0,2020-05-24
