Entidad,Homicidios,Fecha
Aguascalientes,0.0,2020-02-01
Baja California,4.0,2020-02-01
Baja California Sur,0.0,2020-02-01
Campeche,0.0,2020-02-01
Chiapas,1.0,2020-02-01
Chihuahua,7.0,2020-02-01
Ciudad de México,5.0,2020-02-01
Coahuila,1.0,2020-02-01
Colima,2.0,2020-02-01
Durango,0.0,2020-02-01
Estado de México,17.0,2020-02-01
Guanajuato,19.0,2020-02-01
Guerrero,2.0,2020-02-01
Hidalgo,1.0,2020-02-01
Jalisco,7.0,2020-02-01
Michoacán,3.0,2020-02-01
Morelos,6.0,2020-02-01
Nayarit,0.0,2020-02-01
Nuevo León,1.0,2020-02-01
Oaxaca,0.0,2020-02-01
Puebla,1.0,2020-02-01
Querétaro,0.0,2020-02-01
Quintana Roo,1.0,2020-02-01
San Luis Potosí,0.0,2020-02-01
Sinaloa,2.0,2020-02-01
Sonora,2.0,2020-02-01
Tabasco,4.0,2020-02-01
Tamaulipas,0.0,2020-02-01
Tlaxcala,0.0,2020-02-01
Veracruz,5.0,2020-02-01
Yucatán,0.0,2020-02-01
Zacatecas,0.0,2020-02-01
Total,91.0,2020-02-01
Aguascalientes,0.0,2020-02-02
Baja California,12.0,2020-02-02
Baja California Sur,0.0,2020-02-02
Campeche,0.0,2020-02-02
Chiapas,0.0,2020-02-02
Chihuahua,9.0,2020-02-02
Ciudad de México,3.0,2020-02-02
Coahuila,0.0,2020-02-02
Colima,0.0,2020-02-02
Durango,1.0,2020-02-02
Estado de México,8.0,2020-02-02
Guanajuato,15.0,2020-02-02
Guerrero,5.0,2020-02-02
Hidalgo,1.0,2020-02-02
Jalisco,7.0,2020-02-02
Michoacán,11.0,2020-02-02
Morelos,1.0,2020-02-02
Nayarit,0.0,2020-02-02
Nuevo León,1.0,2020-02-02
Oaxaca,4.0,2020-02-02
Puebla,9.0,2020-02-02
Querétaro,1.0,2020-02-02
Quintana Roo,2.0,2020-02-02
San Luis Potosí,2.0,2020-02-02
Sinaloa,3.0,2020-02-02
Sonora,1.0,2020-02-02
Tabasco,0.0,2020-02-02
Tamaulipas,1.0,2020-02-02
Tlaxcala,0.0,2020-02-02
Veracruz,2.0,2020-02-02
Yucatán,1.0,2020-02-02
Zacatecas,0.0,2020-02-02
Total,100.0,2020-02-02
Aguascalientes,0.0,2020-02-03
Baja California,10.0,2020-02-03
Baja California Sur,0.0,2020-02-03
Campeche,2.0,2020-02-03
Chiapas,1.0,2020-02-03
Chihuahua,4.0,2020-02-03
Ciudad de México,3.0,2020-02-03
Coahuila,0.0,2020-02-03
Colima,2.0,2020-02-03
Durango,0.0,2020-02-03
Estado de México,8.0,2020-02-03
Guanajuato,8.0,2020-02-03
Guerrero,3.0,2020-02-03
Hidalgo,1.0,2020-02-03
Jalisco,2.0,2020-02-03
Michoacán,9.0,2020-02-03
Morelos,0.0,2020-02-03
Nayarit,0.0,2020-02-03
Nuevo León,2.0,2020-02-03
Oaxaca,2.0,2020-02-03
Puebla,6.0,2020-02-03
Querétaro,0.0,2020-02-03
Quintana Roo,9.0,2020-02-03
San Luis Potosí,2.0,2020-02-03
Sinaloa,2.0,2020-02-03
Sonora,1.0,2020-02-03
Tabasco,6.0,2020-02-03
Tamaulipas,3.0,2020-02-03
Tlaxcala,0.0,2020-02-03
Veracruz,0.0,2020-02-03
Yucatán,0.0,2020-02-03
Zacatecas,4.0,2020-02-03
Total,90.0,2020-02-03
Aguascalientes,0.0,2020-02-04
Baja California,5.0,2020-02-04
Baja California Sur,0.0,2020-02-04
Campeche,1.0,2020-02-04
Chiapas,0.0,2020-02-04
Chihuahua,4.0,2020-02-04
Ciudad de México,6.0,2020-02-04
Coahuila,1.0,2020-02-04
Colima,3.0,2020-02-04
Durango,0.0,2020-02-04
Estado de México,5.0,2020-02-04
Guanajuato,14.0,2020-02-04
Guerrero,3.0,2020-02-04
Hidalgo,2.0,2020-02-04
Jalisco,3.0,2020-02-04
Michoacán,4.0,2020-02-04
Morelos,2.0,2020-02-04
Nayarit,1.0,2020-02-04
Nuevo León,8.0,2020-02-04
Oaxaca,0.0,2020-02-04
Puebla,0.0,2020-02-04
Querétaro,0.0,2020-02-04
Quintana Roo,4.0,2020-02-04
San Luis Potosí,2.0,2020-02-04
Sinaloa,1.0,2020-02-04
Sonora,5.0,2020-02-04
Tabasco,0.0,2020-02-04
Tamaulipas,1.0,2020-02-04
Tlaxcala,0.0,2020-02-04
Veracruz,4.0,2020-02-04
Yucatán,0.0,2020-02-04
Zacatecas,4.0,2020-02-04
Total,83.0,2020-02-04
Aguascalientes,1.0,2020-02-05
Baja California,4.0,2020-02-05
Baja California Sur,0.0,2020-02-05
Campeche,0.0,2020-02-05
Chiapas,1.0,2020-02-05
Chihuahua,7.0,2020-02-05
Ciudad de México,0.0,2020-02-05
Coahuila,0.0,2020-02-05
