Entidad,Homicidios,Fecha
Aguascalientes,0.0,2020-05-01
Baja California,7.0,2020-05-01
Baja California Sur,0.0,2020-05-01
Campeche,0.0,2020-05-01
Chiapas,2.0,2020-05-01
Chihuahua,10.0,2020-05-01
Ciudad de México,4.0,2020-05-01
Coahuila,0.0,2020-05-01
Colima,1.0,2020-05-01
Durango,1.0,2020-05-01
Estado de México,5.0,2020-05-01
Guanajuato,6.0,2020-05-01
Guerrero,2.0,2020-05-01
Hidalgo,0.0,2020-05-01
Jalisco,14.0,2020-05-01
Michoacán,6.0,2020-05-01
Morelos,1.0,2020-05-01
Nayarit,0.0,2020-05-01
Nuevo León,1.0,2020-05-01
Oaxaca,6.0,2020-05-01
Puebla,1.0,2020-05-01
Querétaro,1.0,2020-05-01
Quintana Roo,1.0,2020-05-01
San Luis Potosí,0.0,2020-05-01
Sinaloa,2.0,2020-05-01
Sonora,0.0,2020-05-01
Tabasco,0.0,2020-05-01
Tamaulipas,1.0,2020-05-01
Tlaxcala,0.0,2020-05-01
Veracruz,1.0,2020-05-01
Yucatán,0.0,2020-05-01
Zacatecas,0.0,2020-05-01
Total,73.0,2020-05-01
Aguascalientes,0.0,2020-05-02
Baja California,5.0,2020-05-02
Baja California Sur,0.0,2020-05-02
Campeche,0.0,2020-05-02
Chiapas,0.0,2020-05-02
Chihuahua,4.0,2020-05-02
Ciudad de México,7.0,2020-05-02
Coahuila,0.0,2020-05-02
Colima,1.0,2020-05-02
Durango,1.0,2020-05-02
Estado de México,7.0,2020-05-02
Guanajuato,20.0,2020-05-02
Guerrero,4.0,2020-05-02
Hidalgo,0.0,2020-05-02
Jalisco,2.0,2020-05-02
Michoacán,6.0,2020-05-02
Morelos,0.0,2020-05-02
Nayarit,0.0,2020-05-02
Nuevo León,5.0,2020-05-02
Oaxaca,4.0,2020-05-02
Puebla,4.0,2020-05-02
Querétaro,1.0,2020-05-02
Quintana Roo,1.0,2020-05-02
San Luis Potosí,1.0,2020-05-02
Sinaloa,1.0,2020-05-02
Sonora,1.0,2020-05-02
Tabasco,1.0,2020-05-02
Tamaulipas,6.0,2020-05-02
Tlaxcala,0.0,2020-05-02
Veracruz,5.0,2020-05-02
Yucatán,0.0,2020-05-02
Zacatecas,11.0,2020-05-02
Total,98.0,2020-05-02
Aguascalientes,0.0,2020-05-03
Baja California,2.0,2020-05-03
Baja California Sur,0.0,2020-05-03
Campeche,0.0,2020-05-03
Chiapas,3.0,2020-05-03
Chihuahua,6.0,2020-05-03
Ciudad de México,5.0,2020-05-03
Coahuila,0.0,2020-05-03
Colima,1.0,2020-05-03
Durango,1.0,2020-05-03
Estado de México,9.0,2020-05-03
Guanajuato,16.0,2020-05-03
Guerrero,1.0,2020-05-03
Hidalgo,1.0,2020-05-03
Jalisco,16.0,2020-05-03
Michoacán,8.0,2020-05-03
Morelos,1.0,2020-05-03
Nayarit,0.0,2020-05-03
Nuevo León,3.0,2020-05-03
Oaxaca,2.0,2020-05-03
Puebla,4.0,2020-05-03
Querétaro,0.0,2020-05-03
Quintana Roo,3.0,2020-05-03
San Luis Potosí,2.0,2020-05-03
Sinaloa,2.0,2020-05-03
Sonora,1.0,2020-05-03
Tabasco,2.0,2020-05-03
Tamaulipas,0.0,2020-05-03
Tlaxcala,0.0,2020-05-03
Veracruz,0.0,2020-05-03
Yucatán,0.0,2020-05-03
Zacatecas,1.0,2020-05-03
Total,90.0,2020-05-03
Aguascalientes,0.0,2020-05-04
Baja California,1.0,2020-05-04
Baja California Sur,0.0,2020-05-04
Campeche,0.0,2020-05-04
Chiapas,2.0,2020-05-04
Chihuahua,6.0,2020-05-04
Ciudad de México,6.0,2020-05-04
Coahuila,0.0,2020-05-04
Colima,0.0,2020-05-04
Durango,1.0,2020-05-04
Estado de México,8.0,2020-05-04
Guanajuato,12.0,2020-05-04
Guerrero,2.0,2020-05-04
Hidalgo,1.0,2020-05-04
Jalisco,4.0,2020-05-04
Michoacán,9.0,2020-05-04
Morelos,2.0,2020-05-04
Nayarit,0.0,2020-05-04
Nuevo León,3.0,2020-05-04
Oaxaca,1.0,2020-05-04
Puebla,2.0,2020-05-04
Querétaro,0.0,2020-05-04
Quintana Roo,2.0,2020-05-04
San Luis Potosí,1.0,2020-05-04
Sinaloa,1.0,2020-05-04
Sonora,3.0,2020-05-04
Tabasco,0.0,2020-05-04
Tamaulipas,0.0,2020-05-04
Tlaxcala,0.0,2020-05-04
Veracruz,4.0,2020-05-04
Yucatán,0.0,2020-05-04
Zacatecas,5.0,2020-05-04
Total,76.0,2020-05-04
Aguascalientes,0.0,2020-05-05
Baja California,1.0,2020-05-05
Baja California Sur,0.0,2020-05-05
Campeche,0.0,2020-05-05
Chiapas,0.0,2020-05-05
Chihuahua,3.0,2020-05-05
Ciudad de México,3.0,2020-05-05
Coahuila,0.0,2020-05-05
Colima,3.0,2020-05-05
Durango,1.0,2020-05-05
Estado de México,6.0,2020-05-05
Guanajuato,15.0,2020-05-05
Guerrero,4.0,2020-05-05
Hidalgo,0.0,2020-05-05
Jalisco,5.0,2020-05-05
Michoacán,12.0,2020-05-05
Morelos,0.0,2020-05-05
Nayarit,0.0,2020-05-05
Nuevo León,3.0,2020-05-05
Oaxaca,3.0,2020-05-05
Puebla,3.0,2020-05-05
