"Entidades","Abril 24","Entidades","Abril 24"
"Aguascalientes","0","Morelos","1"
"","","Nayarit","0"
"Baja California","2","",""
"","","Nuevo León","1"
"Baja California Sur","0","",""
"","","Oaxaca","1"
"Campeche","0","",""
"","","Puebla","4"
"Chiapas","2","",""
"","","Querétaro","3"
"Chihuahua","5","",""
"","","Quintana Roo","3"
"Ciudad de México","4","",""
"","","San Luis Potosí","2"
"Coahuila","2","",""
"","","Sinaloa","1"
"Colima","0","",""
"","","Sonora","4"
"Durango","0","",""
"","","Tabasco","1"
"Estado de México","7","",""
"","","Tamaulipas","1"
"Guanajuato","11","",""
"","","Tlaxcala","0"
"Guerrero","6","",""
"","","Veracruz","2"
"Hidalgo","2","",""
"","","Yucatán","0"
"Jalisco","4","",""
"","","Zacatecas","5"
"Michoacán","7","",""
"","","Total","81"
