"Entidades","Mayo 28","Entidades","Mayo 28"
"Aguascalientes","0","Morelos","0"
"","","Nayarit","1"
"Baja California","5","",""
"","","Nuevo León","1"
"Baja California Sur","0","",""
"","","Oaxaca","2"
"Campeche","1","",""
"","","Puebla","0"
"Chiapas","0","",""
"","","Querétaro","1"
"Chihuahua","6","",""
"","","Quintana Roo","0"
"Ciudad de México","4","",""
"","","San Luis Potosí","2"
"Coahuila","0","",""
"","","Sinaloa","4"
"Colima","0","",""
"","","Sonora","1"
"Durango","0","",""
"","","Tabasco","1"
"Estado de México","6","",""
"","","Tamaulipas","1"
"Guanajuato","15","",""
"","","Tlaxcala","0"
"Guerrero","4","",""
"","","Veracruz","5"
"Hidalgo","0","",""
"","","Yucatán","0"
"Jalisco","13","",""
"","","Zacatecas","3"
"Michoacán","9","",""
"","","Total","85"
