Entidad,Homicidios,Fecha
Aguascalientes,1.0,2019-07-22
Baja California,2.0,2019-07-22
Baja California Sur,0.0,2019-07-22
Campeche,0.0,2019-07-22
Chiapas,3.0,2019-07-22
Chihuahua,4.0,2019-07-22
Ciudad de México,2.0,2019-07-22
Coahuila,1.0,2019-07-22
Colima,2.0,2019-07-22
Durango,0.0,2019-07-22
Estado de México,3.0,2019-07-22
Guanajuato,5.0,2019-07-22
Guerrero,5.0,2019-07-22
Hidalgo,0.0,2019-07-22
Jalisco,3.0,2019-07-22
Michoacán,1.0,2019-07-22
Morelos,0.0,2019-07-22
Nayarit,0.0,2019-07-22
Nuevo León,6.0,2019-07-22
Oaxaca,2.0,2019-07-22
Puebla,4.0,2019-07-22
Querétaro,2.0,2019-07-22
Quintana Roo,4.0,2019-07-22
San Luis Potosí,0.0,2019-07-22
Sinaloa,2.0,2019-07-22
Sonora,1.0,2019-07-22
Tabasco,0.0,2019-07-22
Tamaulipas,3.0,2019-07-22
Tlaxcala,0.0,2019-07-22
Veracruz,6.0,2019-07-22
Yucatán,0.0,2019-07-22
Zacatecas,0.0,2019-07-22
Total,62.0,2019-07-22
