Entidad,Homicidios,Fecha
Aguascalientes,1.0,2019-06-22
Baja California,5.0,2019-06-22
Baja California Sur,0.0,2019-06-22
Campeche,0.0,2019-06-22
Chiapas,0.0,2019-06-22
Chihuahua,0.0,2019-06-22
Ciudad de México,3.0,2019-06-22
Coahuila,0.0,2019-06-22
Colima,2.0,2019-06-22
Durango,0.0,2019-06-22
Estado de México,7.0,2019-06-22
Guanajuato,8.0,2019-06-22
Guerrero,5.0,2019-06-22
Hidalgo,1.0,2019-06-22
Jalisco,2.0,2019-06-22
Michoacán,4.0,2019-06-22
Morelos,3.0,2019-06-22
Nayarit,0.0,2019-06-22
Nuevo León,1.0,2019-06-22
Oaxaca,4.0,2019-06-22
Puebla,2.0,2019-06-22
Querétaro,0.0,2019-06-22
Quintana Roo,1.0,2019-06-22
San Luis Potosí,0.0,2019-06-22
Sinaloa,2.0,2019-06-22
Sonora,2.0,2019-06-22
Tabasco,1.0,2019-06-22
Tamaulipas,6.0,2019-06-22
Tlaxcala,0.0,2019-06-22
Veracruz,5.0,2019-06-22
Yucatán,0.0,2019-06-22
Zacatecas,2.0,2019-06-22
Total,67.0,2019-06-22
