Entidad,Homicidios,Fecha
Aguascalientes,1.0,2019-05-01
Baja California,4.0,2019-05-01
Baja California Sur,0.0,2019-05-01
Campeche,0.0,2019-05-01
Chiapas,0.0,2019-05-01
Chihuahua,2.0,2019-05-01
Ciudad de México,1.0,2019-05-01
Coahuila,2.0,2019-05-01
Colima,7.0,2019-05-01
Durango,0.0,2019-05-01
Estado de México,2.0,2019-05-01
Guanajuato,8.0,2019-05-01
Guerrero,7.0,2019-05-01
Hidalgo,0.0,2019-05-01
Jalisco,2.0,2019-05-01
Michoacán,1.0,2019-05-01
Morelos,2.0,2019-05-01
Nayarit,0.0,2019-05-01
Nuevo León,5.0,2019-05-01
Oaxaca,3.0,2019-05-01
Puebla,2.0,2019-05-01
Querétaro,0.0,2019-05-01
Quintana Roo,1.0,2019-05-01
San Luis Potosí,0.0,2019-05-01
Sinaloa,2.0,2019-05-01
Sonora,2.0,2019-05-01
Tabasco,1.0,2019-05-01
Tamaulipas,3.0,2019-05-01
Tlaxcala,1.0,2019-05-01
Veracruz,3.0,2019-05-01
Yucatán,0.0,2019-05-01
Zacatecas,2.0,2019-05-01
Total,64.0,2019-05-01
Aguascalientes,0.0,2019-05-02
Baja California,14.0,2019-05-02
Baja California Sur,0.0,2019-05-02
Campeche,0.0,2019-05-02
Chiapas,2.0,2019-05-02
Chihuahua,2.0,2019-05-02
Ciudad de México,3.0,2019-05-02
Coahuila,1.0,2019-05-02
Colima,1.0,2019-05-02
Durango,2.0,2019-05-02
Estado de México,4.0,2019-05-02
Guanajuato,4.0,2019-05-02
Guerrero,5.0,2019-05-02
Hidalgo,0.0,2019-05-02
Jalisco,9.0,2019-05-02
Michoacán,6.0,2019-05-02
Morelos,1.0,2019-05-02
Nayarit,1.0,2019-05-02
Nuevo León,4.0,2019-05-02
Oaxaca,3.0,2019-05-02
Puebla,7.0,2019-05-02
Querétaro,0.0,2019-05-02
Quintana Roo,1.0,2019-05-02
San Luis Potosí,1.0,2019-05-02
Sinaloa,3.0,2019-05-02
Sonora,0.0,2019-05-02
Tabasco,3.0,2019-05-02
Tamaulipas,4.0,2019-05-02
Tlaxcala,0.0,2019-05-02
Veracruz,3.0,2019-05-02
Yucatán,0.0,2019-05-02
Zacatecas,1.0,2019-05-02
Total,85.0,2019-05-02
Aguascalientes,1.0,2019-05-03
Baja California,3.0,2019-05-03
Baja California Sur,0.0,2019-05-03
Campeche,0.0,2019-05-03
Chiapas,0.0,2019-05-03
Chihuahua,8.0,2019-05-03
Ciudad de México,9.0,2019-05-03
Coahuila,0.0,2019-05-03
Colima,2.0,2019-05-03
Durango,0.0,2019-05-03
Estado de México,5.0,2019-05-03
Guanajuato,12.0,2019-05-03
Guerrero,9.0,2019-05-03
Hidalgo,2.0,2019-05-03
Jalisco,6.0,2019-05-03
Michoacán,3.0,2019-05-03
Morelos,1.0,2019-05-03
Nayarit,2.0,2019-05-03
Nuevo León,4.0,2019-05-03
Oaxaca,2.0,2019-05-03
Puebla,3.0,2019-05-03
Querétaro,0.0,2019-05-03
Quintana Roo,1.0,2019-05-03
San Luis Potosí,0.0,2019-05-03
Sinaloa,3.0,2019-05-03
Sonora,0.0,2019-05-03
Tabasco,3.0,2019-05-03
Tamaulipas,1.0,2019-05-03
Tlaxcala,0.0,2019-05-03
Veracruz,2.0,2019-05-03
Yucatán,0.0,2019-05-03
Zacatecas,2.0,2019-05-03
Total,84.0,2019-05-03
Aguascalientes,0.0,2019-05-04
Baja California,5.0,2019-05-04
Baja California Sur,0.0,2019-05-04
Campeche,0.0,2019-05-04
Chiapas,1.0,2019-05-04
Chihuahua,4.0,2019-05-04
Ciudad de México,9.0,2019-05-04
Coahuila,0.0,2019-05-04
Colima,0.0,2019-05-04
Durango,0.0,2019-05-04
Estado de México,5.0,2019-05-04
Guanajuato,6.0,2019-05-04
Guerrero,9.0,2019-05-04
Hidalgo,0.0,2019-05-04
Jalisco,10.0,2019-05-04
Michoacán,7.0,2019-05-04
Morelos,2.0,2019-05-04
Nayarit,0.0,2019-05-04
Nuevo León,4.0,2019-05-04
Oaxaca,5.0,2019-05-04
Puebla,4.0,2019-05-04
Querétaro,0.0,2019-05-04
Quintana Roo,2.0,2019-05-04
San Luis Potosí,0.0,2019-05-04
Sinaloa,5.0,2019-05-04
Sonora,3.0,2019-05-04
Tabasco,0.0,2019-05-04
Tamaulipas,1.0,2019-05-04
Tlaxcala,1.0,2019-05-04
Veracruz,7.0,2019-05-04
Yucatán,0.0,2019-05-04
Zacatecas,0.0,2019-05-04
Total,90.0,2019-05-04
Aguascalientes,0.0,2019-05-05
Baja California,5.0,2019-05-05
Baja California Sur,0.0,2019-05-05
Campeche,0.0,2019-05-05
Chiapas,2.0,2019-05-05
Chihuahua,5.0,2019-05-05
Ciudad de México,9.0,2019-05-05
Coahuila,1.0,2019-05-05
Colima,0.0,2019-05-05
Durango,0.0,2019-05-05
Estado de México,8.0,2019-05-05
Guanajuato,7.0,2019-05-05
Guerrero,5.0,2019-05-05
Hidalgo,1.0,2019-05-05
Jalisco,3.0,2019-05-05
Michoacán,7.0,2019-05-05
Morelos,1.0,2019-05-05
Nayarit,0.0,2019-05-05
Nuevo León,4.0,2019-05-05
Oaxaca,1.0,2019-05-05
Puebla,1.0,2019-05-05
Querétaro,0.0,2019-05-05
Quintana Roo,2.0,2019-05-05
San Luis Potosí,0.0,2019-05-05
Sinaloa,1.0,2019-05-05
Sonora,3.0,2019-05-05
Tabasco,2.0,2019-05-05
Tamaulipas,3.0,2019-05-05
Tlaxcala,0.0,2019-05-05
Veracruz,9.0,2019-05-05
Yucatán,0.0,2019-05-05
Zacatecas,0.0,2019-05-05
Total,80.0,2019-05-05
Aguascalientes,0.0,2019-05-06
Baja California,9.0,2019-05-06
Baja California Sur,0.0,2019-05-06
Campeche,1.0,2019-05-06
Chiapas,4.0,2019-05-06
Chihuahua,3.0,2019-05-06
Ciudad de México,7.0,2019-05-06
Coahuila,1.0,2019-05-06
Colima,0.0,2019-05-06
Durango,0.0,2019-05-06
Estado de México,5.0,2019-05-06
Guanajuato,2.0,2019-05-06
Guerrero,2.0,2019-05-06
Hidalgo,0.0,2019-05-06
Jalisco,4.0,2019-05-06
Michoacán,1.0,2019-05-06
Morelos,3.0,2019-05-06
Nayarit,1.0,2019-05-06
Nuevo León,2.0,2019-05-06
Oaxaca,4.0,2019-05-06
Puebla,2.0,2019-05-06
Querétaro,0.0,2019-05-06
Quintana Roo,1.0,2019-05-06
San Luis Potosí,0.0,2019-05-06
Sinaloa,1.0,2019-05-06
Sonora,0.0,2019-05-06
Tabasco,7.0,2019-05-06
Tamaulipas,0.0,2019-05-06
Tlaxcala,0.0,2019-05-06
Veracruz,4.0,2019-05-06
Yucatán,0.0,2019-05-06
Zacatecas,4.0,2019-05-06
Total,68.0,2019-05-06
Aguascalientes,0.0,2019-05-07
Baja California,5.0,2019-05-07
Baja California Sur,0.0,2019-05-07
Campeche,0.0,2019-05-07
Chiapas,2.0,2019-05-07
Chihuahua,3.0,2019-05-07
Ciudad de México,6.0,2019-05-07
Coahuila,0.0,2019-05-07
Colima,3.0,2019-05-07
Durango,0.0,2019-05-07
Estado de México,7.0,2019-05-07
Guanajuato,3.0,2019-05-07
Guerrero,6.0,2019-05-07
Hidalgo,0.0,2019-05-07
Jalisco,4.0,2019-05-07
Michoacán,0.0,2019-05-07
Morelos,0.0,2019-05-07
Nayarit,0.0,2019-05-07
Nuevo León,1.0,2019-05-07
Oaxaca,2.0,2019-05-07
Puebla,5.0,2019-05-07
Querétaro,0.0,2019-05-07
Quintana Roo,1.0,2019-05-07
San Luis Potosí,1.0,2019-05-07
Sinaloa,0.0,2019-05-07
Sonora,1.0,2019-05-07
Tabasco,0.0,2019-05-07
Tamaulipas,3.0,2019-05-07
Tlaxcala,0.0,2019-05-07
Veracruz,7.0,2019-05-07
Yucatán,0.0,2019-05-07
Zacatecas,0.0,2019-05-07
Total,60.0,2019-05-07
Aguascalientes,0.0,2019-05-08
Baja California,8.0,2019-05-08
Baja California Sur,1.0,2019-05-08
Campeche,1.0,2019-05-08
Chiapas,0.0,2019-05-08
Chihuahua,7.0,2019-05-08
Ciudad de México,5.0,2019-05-08
Coahuila,0.0,2019-05-08
Colima,0.0,2019-05-08
Durango,0.0,2019-05-08
Estado de México,5.0,2019-05-08
Guanajuato,6.0,2019-05-08
Guerrero,7.0,2019-05-08
Hidalgo,1.0,2019-05-08
Jalisco,9.0,2019-05-08
Michoacán,3.0,2019-05-08
Morelos,4.0,2019-05-08
Nayarit,0.0,2019-05-08
Nuevo León,0.0,2019-05-08
Oaxaca,2.0,2019-05-08
Puebla,2.0,2019-05-08
Querétaro,0.0,2019-05-08
Quintana Roo,0.0,2019-05-08
San Luis Potosí,0.0,2019-05-08
Sinaloa,2.0,2019-05-08
Sonora,1.0,2019-05-08
Tabasco,0.0,2019-05-08
Tamaulipas,0.0,2019-05-08
Tlaxcala,2.0,2019-05-08
Veracruz,3.0,2019-05-08
Yucatán,0.0,2019-05-08
Zacatecas,2.0,2019-05-08
Total,71.0,2019-05-08
Aguascalientes,1.0,2019-05-09
Baja California,6.0,2019-05-09
Baja California Sur,0.0,2019-05-09
Campeche,0.0,2019-05-09
Chiapas,0.0,2019-05-09
Chihuahua,3.0,2019-05-09
Ciudad de México,2.0,2019-05-09
Coahuila,1.0,2019-05-09
Colima,0.0,2019-05-09
Durango,2.0,2019-05-09
Estado de México,6.0,2019-05-09
Guanajuato,9.0,2019-05-09
Guerrero,2.0,2019-05-09
Hidalgo,0.0,2019-05-09
