Entidad,Homicidios,Fecha
Aguascalientes,0.0,2019-08-01
Baja California,7.0,2019-08-01
Baja California Sur,0.0,2019-08-01
Campeche,0.0,2019-08-01
Chiapas,3.0,2019-08-01
Chihuahua,3.0,2019-08-01
Ciudad de México,5.0,2019-08-01
Coahuila,0.0,2019-08-01
Colima,0.0,2019-08-01
Durango,0.0,2019-08-01
Estado de México,5.0,2019-08-01
Guanajuato,2.0,2019-08-01
Guerrero,3.0,2019-08-01
Hidalgo,0.0,2019-08-01
Jalisco,5.0,2019-08-01
Michoacán,3.0,2019-08-01
Morelos,1.0,2019-08-01
Nayarit,1.0,2019-08-01
Nuevo León,1.0,2019-08-01
Oaxaca,0.0,2019-08-01
Puebla,1.0,2019-08-01
Querétaro,0.0,2019-08-01
Quintana Roo,1.0,2019-08-01
San Luis Potosí,0.0,2019-08-01
Sinaloa,0.0,2019-08-01
Sonora,3.0,2019-08-01
Tabasco,0.0,2019-08-01
Tamaulipas,0.0,2019-08-01
Tlaxcala,0.0,2019-08-01
Veracruz,10.0,2019-08-01
Yucatán,0.0,2019-08-01
Zacatecas,0.0,2019-08-01
Total,54.0,2019-08-01
Aguascalientes,0.0,2019-08-02
Baja California,7.0,2019-08-02
Baja California Sur,1.0,2019-08-02
Campeche,0.0,2019-08-02
Chiapas,1.0,2019-08-02
Chihuahua,3.0,2019-08-02
Ciudad de México,4.0,2019-08-02
Coahuila,0.0,2019-08-02
Colima,1.0,2019-08-02
Durango,0.0,2019-08-02
Estado de México,7.0,2019-08-02
Guanajuato,12.0,2019-08-02
Guerrero,5.0,2019-08-02
Hidalgo,0.0,2019-08-02
Jalisco,9.0,2019-08-02
Michoacán,6.0,2019-08-02
Morelos,0.0,2019-08-02
Nayarit,2.0,2019-08-02
Nuevo León,4.0,2019-08-02
Oaxaca,5.0,2019-08-02
Puebla,3.0,2019-08-02
Querétaro,0.0,2019-08-02
Quintana Roo,1.0,2019-08-02
San Luis Potosí,0.0,2019-08-02
Sinaloa,5.0,2019-08-02
Sonora,2.0,2019-08-02
Tabasco,1.0,2019-08-02
Tamaulipas,1.0,2019-08-02
Tlaxcala,0.0,2019-08-02
Veracruz,3.0,2019-08-02
Yucatán,0.0,2019-08-02
Zacatecas,0.0,2019-08-02
Total,83.0,2019-08-02
Aguascalientes,1.0,2019-08-03
Baja California,5.0,2019-08-03
Baja California Sur,2.0,2019-08-03
Campeche,0.0,2019-08-03
Chiapas,0.0,2019-08-03
Chihuahua,1.0,2019-08-03
Ciudad de México,2.0,2019-08-03
Coahuila,0.0,2019-08-03
Colima,2.0,2019-08-03
Durango,0.0,2019-08-03
Estado de México,6.0,2019-08-03
Guanajuato,7.0,2019-08-03
Guerrero,4.0,2019-08-03
Hidalgo,0.0,2019-08-03
Jalisco,7.0,2019-08-03
Michoacán,4.0,2019-08-03
Morelos,5.0,2019-08-03
Nayarit,2.0,2019-08-03
Nuevo León,2.0,2019-08-03
Oaxaca,1.0,2019-08-03
Puebla,1.0,2019-08-03
Querétaro,0.0,2019-08-03
Quintana Roo,1.0,2019-08-03
San Luis Potosí,1.0,2019-08-03
Sinaloa,1.0,2019-08-03
Sonora,0.0,2019-08-03
Tabasco,0.0,2019-08-03
Tamaulipas,2.0,2019-08-03
Tlaxcala,1.0,2019-08-03
Veracruz,7.0,2019-08-03
Yucatán,0.0,2019-08-03
Zacatecas,2.0,2019-08-03
Total,67.0,2019-08-03
Aguascalientes,0.0,2019-08-04
Baja California,8.0,2019-08-04
Baja California Sur,0.0,2019-08-04
Campeche,0.0,2019-08-04
Chiapas,2.0,2019-08-04
Chihuahua,5.0,2019-08-04
Ciudad de México,3.0,2019-08-04
Coahuila,1.0,2019-08-04
Colima,2.0,2019-08-04
Durango,0.0,2019-08-04
Estado de México,8.0,2019-08-04
Guanajuato,12.0,2019-08-04
Guerrero,7.0,2019-08-04
Hidalgo,5.0,2019-08-04
Jalisco,5.0,2019-08-04
Michoacán,1.0,2019-08-04
Morelos,1.0,2019-08-04
Nayarit,0.0,2019-08-04
Nuevo León,3.0,2019-08-04
Oaxaca,5.0,2019-08-04
Puebla,4.0,2019-08-04
Querétaro,0.0,2019-08-04
Quintana Roo,5.0,2019-08-04
San Luis Potosí,1.0,2019-08-04
Sinaloa,6.0,2019-08-04
Sonora,5.0,2019-08-04
Tabasco,3.0,2019-08-04
Tamaulipas,2.0,2019-08-04
Tlaxcala,0.0,2019-08-04
Veracruz,7.0,2019-08-04
Yucatán,0.0,2019-08-04
Zacatecas,0.0,2019-08-04
Total,101.0,2019-08-04
Aguascalientes,0.0,2019-08-05
Baja California,8.0,2019-08-05
Baja California Sur,0.0,2019-08-05
Campeche,0.0,2019-08-05
Chiapas,4.0,2019-08-05
Chihuahua,7.0,2019-08-05
Ciudad de México,2.0,2019-08-05
Coahuila,2.0,2019-08-05
Colima,0.0,2019-08-05
Durango,1.0,2019-08-05
Estado de México,4.0,2019-08-05
Guanajuato,11.0,2019-08-05
Guerrero,5.0,2019-08-05
Hidalgo,2.0,2019-08-05
Jalisco,5.0,2019-08-05
Michoacán,3.0,2019-08-05
Morelos,2.0,2019-08-05
Nayarit,1.0,2019-08-05
Nuevo León,2.0,2019-08-05
Oaxaca,3.0,2019-08-05
Puebla,4.0,2019-08-05
Querétaro,0.0,2019-08-05
Quintana Roo,4.0,2019-08-05
San Luis Potosí,1.0,2019-08-05
Sinaloa,2.0,2019-08-05
Sonora,5.0,2019-08-05
Tabasco,0.0,2019-08-05
Tamaulipas,4.0,2019-08-05
Tlaxcala,0.0,2019-08-05
Veracruz,0.0,2019-08-05
Yucatán,0.0,2019-08-05
Zacatecas,0.0,2019-08-05
Total,82.0,2019-08-05
Aguascalientes,0.0,2019-08-06
Baja California,7.0,2019-08-06
Baja California Sur,0.0,2019-08-06
Campeche,1.0,2019-08-06
Chiapas,2.0,2019-08-06
Chihuahua,1.0,2019-08-06
Ciudad de México,3.0,2019-08-06
Coahuila,0.0,2019-08-06
Colima,4.0,2019-08-06
Durango,0.0,2019-08-06
Estado de México,10.0,2019-08-06
Guanajuato,4.0,2019-08-06
Guerrero,3.0,2019-08-06
Hidalgo,0.0,2019-08-06
Jalisco,4.0,2019-08-06
Michoacán,3.0,2019-08-06
Morelos,0.0,2019-08-06
Nayarit,0.0,2019-08-06
Nuevo León,2.0,2019-08-06
Oaxaca,4.0,2019-08-06
Puebla,4.0,2019-08-06
Querétaro,1.0,2019-08-06
Quintana Roo,2.0,2019-08-06
San Luis Potosí,4.0,2019-08-06
Sinaloa,1.0,2019-08-06
Sonora,2.0,2019-08-06
Tabasco,5.0,2019-08-06
Tamaulipas,1.0,2019-08-06
Tlaxcala,0.0,2019-08-06
Veracruz,5.0,2019-08-06
Yucatán,0.0,2019-08-06
Zacatecas,1.0,2019-08-06
Total,74.0,2019-08-06
Aguascalientes,0.0,2019-08-07
Baja California,3.0,2019-08-07
Baja California Sur,0.0,2019-08-07
Campeche,0.0,2019-08-07
Chiapas,1.0,2019-08-07
Chihuahua,2.0,2019-08-07
Ciudad de México,2.0,2019-08-07
Coahuila,1.0,2019-08-07
Colima,0.0,2019-08-07
Durango,0.0,2019-08-07
Estado de México,7.0,2019-08-07
Guanajuato,8.0,2019-08-07
Guerrero,3.0,2019-08-07
Hidalgo,1.0,2019-08-07
Jalisco,5.0,2019-08-07
Michoacán,6.0,2019-08-07
Morelos,5.0,2019-08-07
Nayarit,0.0,2019-08-07
Nuevo León,2.0,2019-08-07
Oaxaca,0.0,2019-08-07
Puebla,10.0,2019-08-07
Querétaro,0.0,2019-08-07
Quintana Roo,1.0,2019-08-07
San Luis Potosí,0.0,2019-08-07
Sinaloa,3.0,2019-08-07
Sonora,0.0,2019-08-07
Tabasco,2.0,2019-08-07
Tamaulipas,6.0,2019-08-07
Tlaxcala,0.0,2019-08-07
Veracruz,4.0,2019-08-07
Yucatán,0.0,2019-08-07
Zacatecas,1.0,2019-08-07
Total,73.0,2019-08-07
Aguascalientes,0.0,2019-08-08
Baja California,8.0,2019-08-08
Baja California Sur,0.0,2019-08-08
Campeche,0.0,2019-08-08
Chiapas,1.0,2019-08-08
Chihuahua,5.0,2019-08-08
Ciudad de México,2.0,2019-08-08
Coahuila,0.0,2019-08-08
Colima,0.0,2019-08-08
Durango,0.0,2019-08-08
Estado de México,8.0,2019-08-08
Guanajuato,5.0,2019-08-08
Guerrero,5.0,2019-08-08
Hidalgo,1.0,2019-08-08
Jalisco,2.0,2019-08-08
Michoacán,24.0,2019-08-08
Morelos,3.0,2019-08-08
Nayarit,0.0,2019-08-08
Nuevo León,0.0,2019-08-08
Oaxaca,4.0,2019-08-08
Puebla,1.0,2019-08-08
Querétaro,1.0,2019-08-08
Quintana Roo,1.0,2019-08-08
San Luis Potosí,0.0,2019-08-08
Sinaloa,3.0,2019-08-08
Sonora,1.0,2019-08-08
Tabasco,2.0,2019-08-08
Tamaulipas,1.0,2019-08-08
Tlaxcala,1.0,2019-08-08
Veracruz,9.0,2019-08-08
Yucatán,0.0,2019-08-08
Zacatecas,0.0,2019-08-08
Total,88.0,2019-08-08
Aguascalientes,0.0,2019-08-09
Baja California,4.0,2019-08-09
Baja California Sur,0.0,2019-08-09
Campeche,1.0,2019-08-09
Chiapas,0.0,2019-08-09
Chihuahua,3.0,2019-08-09
Ciudad de México,3.0,2019-08-09
Coahuila,0.0,2019-08-09
Colima,1.0,2019-08-09
Durango,2.0,2019-08-09
Estado de México,4.0,2019-08-09
Guanajuato,7.0,2019-08-09
Guerrero,9.0,2019-08-09
Hidalgo,0.0,2019-08-09
Jalisco,4.0,2019-08-09
Michoacán,3.0,2019-08-09
Morelos,6.0,2019-08-09
Nayarit,0.0,2019-08-09
Nuevo León,3.0,2019-08-09
Oaxaca,4.0,2019-08-09
Puebla,3.0,2019-08-09
Querétaro,1.0,2019-08-09
Quintana Roo,2.0,2019-08-09
San Luis Potosí,0.0,2019-08-09
Sinaloa,1.0,2019-08-09
Sonora,1.0,2019-08-09
Tabasco,0.0,2019-08-09
Tamaulipas,2.0,2019-08-09
Tlaxcala,0.0,2019-08-09
Veracruz,8.0,2019-08-09
Yucatán,0.0,2019-08-09
Zacatecas,1.0,2019-08-09
Total,73.0,2019-08-09
Aguascalientes,0.0,2019-08-10
Baja California,5.0,2019-08-10
Baja California Sur,0.0,2019-08-10
Campeche,0.0,2019-08-10
Chiapas,0.0,2019-08-10
Chihuahua,3.0,2019-08-10
Ciudad de México,4.0,2019-08-10
Coahuila,0.0,2019-08-10
Colima,1.0,2019-08-10
Durango,1.0,2019-08-10
Estado de México,11.0,2019-08-10
Guanajuato,12.0,2019-08-10
Guerrero,3.0,2019-08-10
Hidalgo,0.0,2019-08-10
Jalisco,7.0,2019-08-10
Michoacán,2.0,2019-08-10
Morelos,1.0,2019-08-10
Nayarit,0.0,2019-08-10
Nuevo León,3.0,2019-08-10
Oaxaca,0.0,2019-08-10
Puebla,4.0,2019-08-10
Querétaro,0.0,2019-08-10
Quintana Roo,2.0,2019-08-10
San Luis Potosí,4.0,2019-08-10
Sinaloa,1.0,2019-08-10
Sonora,0.0,2019-08-10
Tabasco,0.0,2019-08-10
Tamaulipas,3.0,2019-08-10
Tlaxcala,0.0,2019-08-10
Veracruz,2.0,2019-08-10
Yucatán,0.0,2019-08-10
Zacatecas,0.0,2019-08-10
Total,69.0,2019-08-10
Aguascalientes,0.0,2019-08-11
Baja California,8.0,2019-08-11
Baja California Sur,0.0,2019-08-11
Campeche,0.0,2019-08-11
Chiapas,1.0,2019-08-11
Chihuahua,6.0,2019-08-11
Ciudad de México,3.0,2019-08-11
Coahuila,1.0,2019-08-11
Colima,1.0,2019-08-11
Durango,0.0,2019-08-11
Estado de México,13.0,2019-08-11
Guanajuato,10.0,2019-08-11
Guerrero,2.0,2019-08-11
Hidalgo,0.0,2019-08-11
Jalisco,5.0,2019-08-11
Michoacán,4.0,2019-08-11
Morelos,0.0,2019-08-11
Nayarit,0.0,2019-08-11
Nuevo León,10.0,2019-08-11
Oaxaca,1.0,2019-08-11
Puebla,2.0,2019-08-11
Querétaro,0.0,2019-08-11
Quintana Roo,4.0,2019-08-11
San Luis Potosí,2.0,2019-08-11
Sinaloa,1.0,2019-08-11
Sonora,3.0,2019-08-11
Tabasco,1.0,2019-08-11
Tamaulipas,0.0,2019-08-11
Tlaxcala,0.0,2019-08-11
Veracruz,8.0,2019-08-11
Yucatán,0.0,2019-08-11
Zacatecas,1.0,2019-08-11
