Entidad,Homicidios,Fecha
Aguascalientes,0.0,2019-12-01
Baja California,9.0,2019-12-01
Baja California Sur,0.0,2019-12-01
Campeche,0.0,2019-12-01
Chiapas,0.0,2019-12-01
Chihuahua,3.0,2019-12-01
Ciudad de México,5.0,2019-12-01
Coahuila,21.0,2019-12-01
Colima,2.0,2019-12-01
Durango,0.0,2019-12-01
Estado de México,14.0,2019-12-01
Guanajuato,10.0,2019-12-01
Guerrero,4.0,2019-12-01
Hidalgo,5.0,2019-12-01
Jalisco,5.0,2019-12-01
Michoacán,7.0,2019-12-01
Morelos,0.0,2019-12-01
Nayarit,1.0,2019-12-01
Nuevo León,3.0,2019-12-01
Oaxaca,10.0,2019-12-01
Puebla,6.0,2019-12-01
Querétaro,2.0,2019-12-01
Quintana Roo,1.0,2019-12-01
San Luis Potosí,2.0,2019-12-01
Sinaloa,0.0,2019-12-01
Sonora,1.0,2019-12-01
Tabasco,3.0,2019-12-01
Tamaulipas,5.0,2019-12-01
Tlaxcala,0.0,2019-12-01
Veracruz,6.0,2019-12-01
Yucatán,0.0,2019-12-01
Zacatecas,2.0,2019-12-01
Total,127.0,2019-12-01
Aguascalientes,0.0,2019-12-02
Baja California,9.0,2019-12-02
Baja California Sur,0.0,2019-12-02
Campeche,1.0,2019-12-02
Chiapas,1.0,2019-12-02
Chihuahua,3.0,2019-12-02
Ciudad de México,5.0,2019-12-02
Coahuila,0.0,2019-12-02
Colima,1.0,2019-12-02
Durango,0.0,2019-12-02
Estado de México,11.0,2019-12-02
Guanajuato,8.0,2019-12-02
Guerrero,4.0,2019-12-02
Hidalgo,2.0,2019-12-02
Jalisco,7.0,2019-12-02
Michoacán,3.0,2019-12-02
Morelos,3.0,2019-12-02
Nayarit,0.0,2019-12-02
Nuevo León,0.0,2019-12-02
Oaxaca,4.0,2019-12-02
Puebla,4.0,2019-12-02
Querétaro,1.0,2019-12-02
Quintana Roo,0.0,2019-12-02
San Luis Potosí,1.0,2019-12-02
Sinaloa,3.0,2019-12-02
Sonora,0.0,2019-12-02
Tabasco,1.0,2019-12-02
Tamaulipas,1.0,2019-12-02
Tlaxcala,0.0,2019-12-02
Veracruz,2.0,2019-12-02
Yucatán,0.0,2019-12-02
Zacatecas,2.0,2019-12-02
Total,77.0,2019-12-02
Aguascalientes,1.0,2019-12-03
Baja California,9.0,2019-12-03
Baja California Sur,0.0,2019-12-03
Campeche,0.0,2019-12-03
Chiapas,0.0,2019-12-03
Chihuahua,4.0,2019-12-03
Ciudad de México,1.0,2019-12-03
Coahuila,1.0,2019-12-03
Colima,2.0,2019-12-03
Durango,1.0,2019-12-03
Estado de México,6.0,2019-12-03
Guanajuato,10.0,2019-12-03
Guerrero,4.0,2019-12-03
Hidalgo,2.0,2019-12-03
Jalisco,4.0,2019-12-03
Michoacán,10.0,2019-12-03
Morelos,0.0,2019-12-03
Nayarit,0.0,2019-12-03
Nuevo León,1.0,2019-12-03
Oaxaca,3.0,2019-12-03
Puebla,5.0,2019-12-03
Querétaro,0.0,2019-12-03
Quintana Roo,1.0,2019-12-03
San Luis Potosí,2.0,2019-12-03
Sinaloa,0.0,2019-12-03
Sonora,0.0,2019-12-03
