Entidad,Homicidios,Fecha
Aguascalientes,0.0,2020-04-27
Baja California,7.0,2020-04-27
Baja California Sur,0.0,2020-04-27
Campeche,0.0,2020-04-27
Chiapas,0.0,2020-04-27
Chihuahua,6.0,2020-04-27
Ciudad de México,7.0,2020-04-27
Coahuila,0.0,2020-04-27
Colima,3.0,2020-04-27
Durango,0.0,2020-04-27
Estado de México,4.0,2020-04-27
Guanajuato,5.0,2020-04-27
Guerrero,3.0,2020-04-27
Hidalgo,3.0,2020-04-27
Jalisco,5.0,2020-04-27
Michoacán,2.0,2020-04-27
Morelos,1.0,2020-04-27
Nayarit,0.0,2020-04-27
Nuevo León,5.0,2020-04-27
Oaxaca,5.0,2020-04-27
Puebla,2.0,2020-04-27
Querétaro,0.0,2020-04-27
Quintana Roo,1.0,2020-04-27
San Luis Potosí,0.0,2020-04-27
Sinaloa,3.0,2020-04-27
Sonora,1.0,2020-04-27
Tabasco,1.0,2020-04-27
Tamaulipas,1.0,2020-04-27
Tlaxcala,3.0,2020-04-27
Veracruz,2.0,2020-04-27
Yucatán,0.0,2020-04-27
Zacatecas,2.0,2020-04-27
Total,72.0,2020-04-27
