Entidad,Homicidios,Fecha
Aguascalientes,0,2020-12-20
Baja California,6,2020-12-20
Baja California Sur,0,2020-12-20
Campeche,0,2020-12-20
Chiapas,2,2020-12-20
Chihuahua,2,2020-12-20
Ciudad de México,7,2020-12-20
Coahuila,0,2020-12-20
Colima,0,2020-12-20
Durango,0,2020-12-20
Estado de México,6,2020-12-20
Guanajuato,13,2020-12-20
Guerrero,1,2020-12-20
Hidalgo,0,2020-12-20
Jalisco,12,2020-12-20
Michoacán,3,2020-12-20
Morelos,0,2020-12-20
Nayarit,0,2020-12-20
Nuevo León,1,2020-12-20
Oaxaca,3,2020-12-20
Puebla,3,2020-12-20
Querétaro,0,2020-12-20
Quintana Roo,0,2020-12-20
San Luis Potosí,0,2020-12-20
Sinaloa,3,2020-12-20
Sonora,1,2020-12-20
Tabasco,2,2020-12-20
Tamaulipas,0,2020-12-20
Tlaxcala,1,2020-12-20
Veracruz,2,2020-12-20
Yucatán,1,2020-12-20
Zacatecas,3,2020-12-20
