Entidad,Homicidios,Fecha
Aguascalientes,0.0,2020-02-12
Baja California,2.0,2020-02-12
Baja California Sur,0.0,2020-02-12
Campeche,0.0,2020-02-12
Chiapas,1.0,2020-02-12
Chihuahua,7.0,2020-02-12
Ciudad de México,7.0,2020-02-12
Coahuila,0.0,2020-02-12
Colima,0.0,2020-02-12
Durango,2.0,2020-02-12
Estado de México,4.0,2020-02-12
Guanajuato,9.0,2020-02-12
Guerrero,3.0,2020-02-12
Hidalgo,1.0,2020-02-12
Jalisco,8.0,2020-02-12
Michoacán,7.0,2020-02-12
Morelos,0.0,2020-02-12
Nayarit,1.0,2020-02-12
Nuevo León,1.0,2020-02-12
Oaxaca,0.0,2020-02-12
Puebla,1.0,2020-02-12
Querétaro,0.0,2020-02-12
Quintana Roo,0.0,2020-02-12
San Luis Potosí,1.0,2020-02-12
Sinaloa,5.0,2020-02-12
Sonora,0.0,2020-02-12
Tabasco,0.0,2020-02-12
Tamaulipas,2.0,2020-02-12
Tlaxcala,0.0,2020-02-12
Veracruz,5.0,2020-02-12
Yucatán,0.0,2020-02-12
Zacatecas,2.0,2020-02-12
Total,69.0,2020-02-12
