Entidad,Homicidios,Fecha
Aguascalientes,1.0,2020-05-16
Baja California,2.0,2020-05-16
Baja California Sur,0.0,2020-05-16
Campeche,0.0,2020-05-16
Chiapas,1.0,2020-05-16
Chihuahua,4.0,2020-05-16
Ciudad de México,5.0,2020-05-16
Coahuila,0.0,2020-05-16
Colima,2.0,2020-05-16
Durango,1.0,2020-05-16
Estado de México,10.0,2020-05-16
Guanajuato,13.0,2020-05-16
Guerrero,1.0,2020-05-16
Hidalgo,1.0,2020-05-16
Jalisco,5.0,2020-05-16
Michoacán,5.0,2020-05-16
Morelos,4.0,2020-05-16
Nayarit,0.0,2020-05-16
Nuevo León,2.0,2020-05-16
Oaxaca,0.0,2020-05-16
Puebla,2.0,2020-05-16
Querétaro,0.0,2020-05-16
Quintana Roo,3.0,2020-05-16
San Luis Potosí,4.0,2020-05-16
Sinaloa,13.0,2020-05-16
Sonora,7.0,2020-05-16
Tabasco,0.0,2020-05-16
Tamaulipas,3.0,2020-05-16
Tlaxcala,0.0,2020-05-16
Veracruz,0.0,2020-05-16
Yucatán,0.0,2020-05-16
Zacatecas,4.0,2020-05-16
Total,93.0,2020-05-16
