Entidad,Homicidios,Fecha
Aguascalientes,0.0,2020-04-01
Baja California,3.0,2020-04-01
Baja California Sur,0.0,2020-04-01
Campeche,0.0,2020-04-01
Chiapas,0.0,2020-04-01
Chihuahua,6.0,2020-04-01
Ciudad de México,3.0,2020-04-01
Coahuila,1.0,2020-04-01
Colima,0.0,2020-04-01
Durango,0.0,2020-04-01
Estado de México,8.0,2020-04-01
Guanajuato,12.0,2020-04-01
Guerrero,11.0,2020-04-01
Hidalgo,0.0,2020-04-01
Jalisco,5.0,2020-04-01
Michoacán,5.0,2020-04-01
Morelos,2.0,2020-04-01
Nayarit,0.0,2020-04-01
Nuevo León,3.0,2020-04-01
Oaxaca,2.0,2020-04-01
Puebla,2.0,2020-04-01
Querétaro,0.0,2020-04-01
Quintana Roo,1.0,2020-04-01
San Luis Potosí,4.0,2020-04-01
Sinaloa,0.0,2020-04-01
Sonora,2.0,2020-04-01
Tabasco,1.0,2020-04-01
Tamaulipas,0.0,2020-04-01
Tlaxcala,0.0,2020-04-01
Veracruz,0.0,2020-04-01
Yucatán,2.0,2020-04-01
Zacatecas,6.0,2020-04-01
Total,79.0,2020-04-01
Aguascalientes,0.0,2020-04-02
Baja California,7.0,2020-04-02
Baja California Sur,0.0,2020-04-02
Campeche,0.0,2020-04-02
Chiapas,0.0,2020-04-02
Chihuahua,8.0,2020-04-02
Ciudad de México,6.0,2020-04-02
Coahuila,0.0,2020-04-02
Colima,2.0,2020-04-02
Durango,1.0,2020-04-02
Estado de México,3.0,2020-04-02
Guanajuato,9.0,2020-04-02
Guerrero,4.0,2020-04-02
Hidalgo,0.0,2020-04-02
Jalisco,2.0,2020-04-02
Michoacán,6.0,2020-04-02
Morelos,1.0,2020-04-02
Nayarit,0.0,2020-04-02
Nuevo León,0.0,2020-04-02
Oaxaca,5.0,2020-04-02
Puebla,0.0,2020-04-02
Querétaro,0.0,2020-04-02
Quintana Roo,1.0,2020-04-02
San Luis Potosí,1.0,2020-04-02
Sinaloa,2.0,2020-04-02
Sonora,0.0,2020-04-02
Tabasco,2.0,2020-04-02
Tamaulipas,0.0,2020-04-02
Tlaxcala,0.0,2020-04-02
Veracruz,2.0,2020-04-02
Yucatán,0.0,2020-04-02
Zacatecas,4.0,2020-04-02
Total,66.0,2020-04-02
Aguascalientes,0.0,2020-04-03
Baja California,7.0,2020-04-03
Baja California Sur,0.0,2020-04-03
Campeche,0.0,2020-04-03
Chiapas,0.0,2020-04-03
Chihuahua,7.0,2020-04-03
Ciudad de México,2.0,2020-04-03
Coahuila,0.0,2020-04-03
Colima,2.0,2020-04-03
Durango,0.0,2020-04-03
Estado de México,6.0,2020-04-03
Guanajuato,16.0,2020-04-03
Guerrero,1.0,2020-04-03
