Entidad,Homicidios,Fecha
Aguascalientes,0.0,2020-09-01
Baja California,6.0,2020-09-01
Baja California Sur,1.0,2020-09-01
Campeche,0.0,2020-09-01
Chiapas,1.0,2020-09-01
Chihuahua,0.0,2020-09-01
Ciudad de México,3.0,2020-09-01
Coahuila,1.0,2020-09-01
Colima,3.0,2020-09-01
Durango,0.0,2020-09-01
Estado de México,5.0,2020-09-01
Guanajuato,9.0,2020-09-01
Guerrero,0.0,2020-09-01
Hidalgo,1.0,2020-09-01
Jalisco,1.0,2020-09-01
Michoacán,4.0,2020-09-01
Morelos,1.0,2020-09-01
Nayarit,0.0,2020-09-01
Nuevo León,3.0,2020-09-01
Oaxaca,1.0,2020-09-01
Puebla,0.0,2020-09-01
Querétaro,0.0,2020-09-01
Quintana Roo,1.0,2020-09-01
San Luis Potosí,1.0,2020-09-01
Sinaloa,0.0,2020-09-01
Sonora,3.0,2020-09-01
Tabasco,2.0,2020-09-01
Tamaulipas,2.0,2020-09-01
Tlaxcala,0.0,2020-09-01
Veracruz,2.0,2020-09-01
Yucatán,1.0,2020-09-01
Zacatecas,1.0,2020-09-01
Aguascalientes,0.0,2020-09-02
Baja California,5.0,2020-09-02
Baja California Sur,0.0,2020-09-02
Campeche,0.0,2020-09-02
Chiapas,0.0,2020-09-02
Chihuahua,12.0,2020-09-02
Ciudad de México,2.0,2020-09-02
Coahuila,2.0,2020-09-02
Colima,1.0,2020-09-02
Durango,1.0,2020-09-02
Estado de México,2.0,2020-09-02
Guanajuato,6.0,2020-09-02
Guerrero,4.0,2020-09-02
Hidalgo,0.0,2020-09-02
Jalisco,4.0,2020-09-02
Michoacán,3.0,2020-09-02
Morelos,0.0,2020-09-02
Nayarit,0.0,2020-09-02
Nuevo León,3.0,2020-09-02
Oaxaca,0.0,2020-09-02
Puebla,1.0,2020-09-02
Querétaro,0.0,2020-09-02
Quintana Roo,1.0,2020-09-02
San Luis Potosí,1.0,2020-09-02
Sinaloa,5.0,2020-09-02
Sonora,2.0,2020-09-02
Tabasco,1.0,2020-09-02
Tamaulipas,2.0,2020-09-02
Tlaxcala,0.0,2020-09-02
Veracruz,5.0,2020-09-02
Yucatán,0.0,2020-09-02
Zacatecas,6.0,2020-09-02
Aguascalientes,0.0,2020-09-03
Baja California,5.0,2020-09-03
Baja California Sur,0.0,2020-09-03
Campeche,0.0,2020-09-03
Chiapas,0.0,2020-09-03
Chihuahua,3.0,2020-09-03
Ciudad de México,3.0,2020-09-03
Coahuila,1.0,2020-09-03
Colima,1.0,2020-09-03
Durango,0.0,2020-09-03
Estado de México,7.0,2020-09-03
Guanajuato,12.0,2020-09-03
Guerrero,4.0,2020-09-03
Hidalgo,0.0,2020-09-03
Jalisco,5.0,2020-09-03
Michoacán,7.0,2020-09-03
Morelos,5.0,2020-09-03
Nayarit,0.0,2020-09-03
Nuevo León,2.0,2020-09-03
Oaxaca,1.0,2020-09-03
Puebla,2.0,2020-09-03
Querétaro,0.0,2020-09-03
Quintana Roo,5.0,2020-09-03
San Luis Potosí,7.0,2020-09-03
Sinaloa,3.0,2020-09-03
Sonora,4.0,2020-09-03
Tabasco,0.0,2020-09-03
Tamaulipas,2.0,2020-09-03
Tlaxcala,0.0,2020-09-03
Veracruz,1.0,2020-09-03
Yucatán,0.0,2020-09-03
Zacatecas,5.0,2020-09-03
Aguascalientes,0.0,2020-09-04
Baja California,5.0,2020-09-04
Baja California Sur,0.0,2020-09-04
Campeche,0.0,2020-09-04
Chiapas,0.0,2020-09-04
Chihuahua,4.0,2020-09-04
