Entidad,Homicidios,Fecha
Baja California,6,2020-10-01
Baja California Sur,0,2020-10-01
Campeche,1,2020-10-01
Chiapas,0,2020-10-01
Chihuahua,1,2020-10-01
Ciudad de México,4,2020-10-01
Coahuila,0,2020-10-01
Colima,1,2020-10-01
Durango,2,2020-10-01
Estado de México,3,2020-10-01
Guanajuato,19,2020-10-01
Guerrero,2,2020-10-01
Hidalgo,2,2020-10-01
Jalisco,6,2020-10-01
Michoacán,2,2020-10-01
Nayarit,0,2020-10-01
Nuevo León,1,2020-10-01
Oaxaca,2,2020-10-01
Puebla,2,2020-10-01
Querétaro,0,2020-10-01
Quintana Roo,0,2020-10-01
San Luis Potosí,3,2020-10-01
Sinaloa,1,2020-10-01
Sonora,3,2020-10-01
Tabasco,1,2020-10-01
Tamaulipas,2,2020-10-01
Tlaxcala,0,2020-10-01
Veracruz,1,2020-10-01
Yucatán,0,2020-10-01
Zacatecas,2,2020-10-01
Baja California,4,2020-10-02
Baja California Sur,0,2020-10-02
Campeche,0,2020-10-02
Chiapas,0,2020-10-02
Chihuahua,2,2020-10-02
Ciudad de México,4,2020-10-02
Coahuila,0,2020-10-02
Colima,0,2020-10-02
Durango,0,2020-10-02
Estado de México,11,2020-10-02
Guanajuato,16,2020-10-02
Guerrero,2,2020-10-02
Hidalgo,0,2020-10-02
Jalisco,6,2020-10-02
Michoacán,2,2020-10-02
Nayarit,0,2020-10-02
Nuevo León,1,2020-10-02
Oaxaca,1,2020-10-02
Puebla,5,2020-10-02
Querétaro,0,2020-10-02
Quintana Roo,1,2020-10-02
San Luis Potosí,3,2020-10-02
Sinaloa,1,2020-10-02
Sonora,2,2020-10-02
Tabasco,0,2020-10-02
Tamaulipas,0,2020-10-02
Tlaxcala,1,2020-10-02
Veracruz,2,2020-10-02
Yucatán,0,2020-10-02
Zacatecas,5,2020-10-02
Baja California,7,2020-10-03
Baja California Sur,0,2020-10-03
Campeche,0,2020-10-03
Chiapas,0,2020-10-03
Chihuahua,0,2020-10-03
Ciudad de México,12,2020-10-03
Coahuila,0,2020-10-03
Colima,1,2020-10-03
Durango,0,2020-10-03
Estado de México,7,2020-10-03
Guanajuato,9,2020-10-03
Guerrero,7,2020-10-03
Hidalgo,0,2020-10-03
Jalisco,4,2020-10-03
Michoacán,5,2020-10-03
Nayarit,0,2020-10-03
Nuevo León,4,2020-10-03
Oaxaca,0,2020-10-03
Puebla,4,2020-10-03
Querétaro,0,2020-10-03
Quintana Roo,2,2020-10-03
San Luis Potosí,8,2020-10-03
Sinaloa,2,2020-10-03
Sonora,1,2020-10-03
Tabasco,4,2020-10-03
Tamaulipas,6,2020-10-03
Tlaxcala,1,2020-10-03
Veracruz,1,2020-10-03
Yucatán,0,2020-10-03
Zacatecas,2,2020-10-03
Baja California,3,2020-10-04
Baja California Sur,0,2020-10-04
Campeche,0,2020-10-04
Chiapas,2,2020-10-04
Chihuahua,4,2020-10-04
Ciudad de México,9,2020-10-04
Coahuila,1,2020-10-04
Colima,4,2020-10-04
Durango,0,2020-10-04
Estado de México,8,2020-10-04
Guanajuato,16,2020-10-04
Guerrero,4,2020-10-04
Hidalgo,0,2020-10-04
Jalisco,5,2020-10-04
Michoacán,5,2020-10-04
Nayarit,0,2020-10-04
Nuevo León,2,2020-10-04
Oaxaca,3,2020-10-04
Puebla,2,2020-10-04
Querétaro,0,2020-10-04
Quintana Roo,1,2020-10-04
San Luis Potosí,0,2020-10-04
Sinaloa,0,2020-10-04
Sonora,2,2020-10-04
Tabasco,1,2020-10-04
Tamaulipas,0,2020-10-04
Tlaxcala,1,2020-10-04
Veracruz,3,2020-10-04
Yucatán,0,2020-10-04
Zacatecas,3,2020-10-04
Baja California,6,2020-10-05
Baja California Sur,0,2020-10-05
Campeche,0,2020-10-05
Chiapas,1,2020-10-05
Chihuahua,6,2020-10-05
Ciudad de México,0,2020-10-05
Coahuila,0,2020-10-05
Colima,1,2020-10-05
Durango,1,2020-10-05
Estado de México,6,2020-10-05
Guanajuato,32,2020-10-05
Guerrero,1,2020-10-05
Hidalgo,0,2020-10-05
Jalisco,3,2020-10-05
Michoacán,8,2020-10-05
Nayarit,0,2020-10-05
Nuevo León,0,2020-10-05
Oaxaca,7,2020-10-05
Puebla,2,2020-10-05
