Entidad,Homicidios,Fecha
Aguascalientes,1,2020-11-01
Baja California,9,2020-11-01
Baja California Sur,0,2020-11-01
Campeche,0,2020-11-01
Chiapas,0,2020-11-01
Chihuahua,7,2020-11-01
Ciudad de México,9,2020-11-01
Coahuila,3,2020-11-01
Colima,0,2020-11-01
Durango,1,2020-11-01
Estado de México,10,2020-11-01
Guanajuato,10,2020-11-01
Guerrero,2,2020-11-01
Hidalgo,0,2020-11-01
Jalisco,3,2020-11-01
Michoacán,15,2020-11-01
Morelos,3,2020-11-01
Nayarit,0,2020-11-01
Nuevo León,3,2020-11-01
Oaxaca,1,2020-11-01
Puebla,2,2020-11-01
Querétaro,1,2020-11-01
Quintana Roo,5,2020-11-01
San Luis Potosí,1,2020-11-01
Sinaloa,3,2020-11-01
Sonora,0,2020-11-01
Tabasco,0,2020-11-01
Tamaulipas,1,2020-11-01
Tlaxcala,1,2020-11-01
Veracruz,0,2020-11-01
Yucatán,0,2020-11-01
Zacatecas,1,2020-11-01
Aguascalientes,0,2020-11-02
Baja California,4,2020-11-02
Baja California Sur,0,2020-11-02
Campeche,0,2020-11-02
Chiapas,2,2020-11-02
Chihuahua,1,2020-11-02
Ciudad de México,2,2020-11-02
Coahuila,0,2020-11-02
Colima,0,2020-11-02
Durango,0,2020-11-02
Estado de México,4,2020-11-02
Guanajuato,7,2020-11-02
Guerrero,2,2020-11-02
Hidalgo,0,2020-11-02
Jalisco,7,2020-11-02
Michoacán,11,2020-11-02
Morelos,5,2020-11-02
Nayarit,0,2020-11-02
Nuevo León,2,2020-11-02
Oaxaca,2,2020-11-02
Puebla,5,2020-11-02
Querétaro,0,2020-11-02
Quintana Roo,3,2020-11-02
San Luis Potosí,0,2020-11-02
Sinaloa,5,2020-11-02
Sonora,0,2020-11-02
Tabasco,0,2020-11-02
Tamaulipas,0,2020-11-02
Tlaxcala,0,2020-11-02
Veracruz,3,2020-11-02
Yucatán,0,2020-11-02
Zacatecas,0,2020-11-02
Aguascalientes,0,2020-11-03
Baja California,7,2020-11-03
Baja California Sur,0,2020-11-03
Campeche,0,2020-11-03
