Entidad,Homicidios,Fecha
Aguascalientes,0.0,2020-01-01
Baja California,4.0,2020-01-01
Baja California Sur,0.0,2020-01-01
Campeche,0.0,2020-01-01
Chiapas,1.0,2020-01-01
Chihuahua,6.0,2020-01-01
Ciudad de México,7.0,2020-01-01
Coahuila,0.0,2020-01-01
Colima,0.0,2020-01-01
Durango,0.0,2020-01-01
Estado de México,3.0,2020-01-01
Guanajuato,7.0,2020-01-01
Guerrero,4.0,2020-01-01
Hidalgo,3.0,2020-01-01
Jalisco,6.0,2020-01-01
Michoacán,2.0,2020-01-01
Morelos,2.0,2020-01-01
Nayarit,0.0,2020-01-01
Nuevo León,3.0,2020-01-01
Oaxaca,4.0,2020-01-01
Puebla,5.0,2020-01-01
Querétaro,2.0,2020-01-01
Quintana Roo,0.0,2020-01-01
San Luis Potosí,2.0,2020-01-01
Sinaloa,1.0,2020-01-01
Sonora,0.0,2020-01-01
Tabasco,1.0,2020-01-01
Tamaulipas,0.0,2020-01-01
Tlaxcala,0.0,2020-01-01
Veracruz,1.0,2020-01-01
Yucatán,0.0,2020-01-01
Zacatecas,0.0,2020-01-01
Total,64.0,2020-01-01
Aguascalientes,0.0,2020-01-02
Baja California,5.0,2020-01-02
Baja California Sur,0.0,2020-01-02
Campeche,0.0,2020-01-02
Chiapas,0.0,2020-01-02
Chihuahua,3.0,2020-01-02
Ciudad de México,2.0,2020-01-02
Coahuila,0.0,2020-01-02
Colima,0.0,2020-01-02
Durango,0.0,2020-01-02
Estado de México,10.0,2020-01-02
Guanajuato,7.0,2020-01-02
Guerrero,1.0,2020-01-02
Hidalgo,3.0,2020-01-02
Jalisco,2.0,2020-01-02
Michoacán,3.0,2020-01-02
Morelos,2.0,2020-01-02
Nayarit,0.0,2020-01-02
Nuevo León,1.0,2020-01-02
Oaxaca,0.0,2020-01-02
Puebla,3.0,2020-01-02
Querétaro,0.0,2020-01-02
Quintana Roo,0.0,2020-01-02
San Luis Potosí,1.0,2020-01-02
Sinaloa,5.0,2020-01-02
Sonora,0.0,2020-01-02
Tabasco,2.0,2020-01-02
Tamaulipas,5.0,2020-01-02
Tlaxcala,1.0,2020-01-02
Veracruz,2.0,2020-01-02
Yucatán,0.0,2020-01-02
Zacatecas,1.0,2020-01-02
Total,59.0,2020-01-02
Aguascalientes,0.0,2020-01-03
Baja California,6.0,2020-01-03
Baja California Sur,0.0,2020-01-03
Campeche,0.0,2020-01-03
Chiapas,0.0,2020-01-03
Chihuahua,0.0,2020-01-03
Ciudad de México,5.0,2020-01-03
Coahuila,0.0,2020-01-03
Colima,2.0,2020-01-03
Durango,0.0,2020-01-03
Estado de México,3.0,2020-01-03
Guanajuato,17.0,2020-01-03
Guerrero,7.0,2020-01-03
Hidalgo,2.0,2020-01-03
Jalisco,4.0,2020-01-03
Michoacán,2.0,2020-01-03
Morelos,0.0,2020-01-03
Nayarit,1.0,2020-01-03
Nuevo León,2.0,2020-01-03
Oaxaca,3.0,2020-01-03
Puebla,2.0,2020-01-03
Querétaro,0.0,2020-01-03
Quintana Roo,2.0,2020-01-03
San Luis Potosí,1.0,2020-01-03
Sinaloa,0.0,2020-01-03
Sonora,3.0,2020-01-03
Tabasco,1.0,2020-01-03
Tamaulipas,3.0,2020-01-03
Tlaxcala,0.0,2020-01-03
Veracruz,6.0,2020-01-03
Yucatán,0.0,2020-01-03
Zacatecas,2.0,2020-01-03
Total,74.0,2020-01-03
Aguascalientes,0.0,2020-01-04
Baja California,2.0,2020-01-04
Baja California Sur,0.0,2020-01-04
Campeche,2.0,2020-01-04
Chiapas,3.0,2020-01-04
Chihuahua,4.0,2020-01-04
Ciudad de México,2.0,2020-01-04
Coahuila,0.0,2020-01-04
Colima,1.0,2020-01-04
Durango,1.0,2020-01-04
Estado de México,9.0,2020-01-04
Guanajuato,11.0,2020-01-04
Guerrero,3.0,2020-01-04
Hidalgo,1.0,2020-01-04
Jalisco,5.0,2020-01-04
Michoacán,5.0,2020-01-04
Morelos,1.0,2020-01-04
Nayarit,0.0,2020-01-04
Nuevo León,2.0,2020-01-04
Oaxaca,3.0,2020-01-04
Puebla,0.0,2020-01-04
Querétaro,0.0,2020-01-04
Quintana Roo,4.0,2020-01-04
San Luis Potosí,0.0,2020-01-04
Sinaloa,2.0,2020-01-04
Sonora,1.0,2020-01-04
Tabasco,2.0,2020-01-04
Tamaulipas,1.0,2020-01-04
Tlaxcala,1.0,2020-01-04
Veracruz,6.0,2020-01-04
Yucatán,0.0,2020-01-04
Zacatecas,1.0,2020-01-04
Total,73.0,2020-01-04
Aguascalientes,0.0,2020-01-05
Baja California,10.0,2020-01-05
Baja California Sur,0.0,2020-01-05
Campeche,0.0,2020-01-05
Chiapas,1.0,2020-01-05
Chihuahua,5.0,2020-01-05
Ciudad de México,2.0,2020-01-05
Coahuila,2.0,2020-01-05
Colima,0.0,2020-01-05
Durango,0.0,2020-01-05
Estado de México,3.0,2020-01-05
Guanajuato,16.0,2020-01-05
Guerrero,4.0,2020-01-05
Hidalgo,1.0,2020-01-05
Jalisco,2.0,2020-01-05
Michoacán,4.0,2020-01-05
Morelos,3.0,2020-01-05
Nayarit,0.0,2020-01-05
Nuevo León,2.0,2020-01-05
Oaxaca,1.0,2020-01-05
Puebla,2.0,2020-01-05
Querétaro,0.0,2020-01-05
Quintana Roo,2.0,2020-01-05
San Luis Potosí,0.0,2020-01-05
Sinaloa,1.0,2020-01-05
Sonora,1.0,2020-01-05
Tabasco,0.0,2020-01-05
Tamaulipas,4.0,2020-01-05
Tlaxcala,0.0,2020-01-05
Veracruz,3.0,2020-01-05
Yucatán,0.0,2020-01-05
Zacatecas,0.0,2020-01-05
Total,69.0,2020-01-05
Aguascalientes,0.0,2020-01-06
Baja California,9.0,2020-01-06
Baja California Sur,0.0,2020-01-06
Campeche,0.0,2020-01-06
Chiapas,1.0,2020-01-06
Chihuahua,1.0,2020-01-06
Ciudad de México,6.0,2020-01-06
Coahuila,0.0,2020-01-06
Colima,1.0,2020-01-06
Durango,1.0,2020-01-06
Estado de México,1.0,2020-01-06
Guanajuato,11.0,2020-01-06
Guerrero,3.0,2020-01-06
Hidalgo,0.0,2020-01-06
Jalisco,5.0,2020-01-06
Michoacán,9.0,2020-01-06
Morelos,1.0,2020-01-06
Nayarit,1.0,2020-01-06
Nuevo León,5.0,2020-01-06
Oaxaca,2.0,2020-01-06
Puebla,2.0,2020-01-06
Querétaro,0.0,2020-01-06
Quintana Roo,0.0,2020-01-06
San Luis Potosí,0.0,2020-01-06
Sinaloa,2.0,2020-01-06
Sonora,2.0,2020-01-06
Tabasco,1.0,2020-01-06
Tamaulipas,3.0,2020-01-06
Tlaxcala,0.0,2020-01-06
Veracruz,0.0,2020-01-06
Yucatán,0.0,2020-01-06
Zacatecas,1.0,2020-01-06
Total,68.0,2020-01-06
Aguascalientes,0.0,2020-01-07
Baja California,6.0,2020-01-07
Baja California Sur,0.0,2020-01-07
Campeche,0.0,2020-01-07
Chiapas,1.0,2020-01-07
Chihuahua,2.0,2020-01-07
Ciudad de México,4.0,2020-01-07
Coahuila,0.0,2020-01-07
Colima,0.0,2020-01-07
Durango,0.0,2020-01-07
Estado de México,5.0,2020-01-07
Guanajuato,23.0,2020-01-07
Guerrero,2.0,2020-01-07
Hidalgo,2.0,2020-01-07
Jalisco,5.0,2020-01-07
Michoacán,9.0,2020-01-07
Morelos,2.0,2020-01-07
Nayarit,1.0,2020-01-07
Nuevo León,2.0,2020-01-07
Oaxaca,2.0,2020-01-07
Puebla,1.0,2020-01-07
Querétaro,0.0,2020-01-07
Quintana Roo,0.0,2020-01-07
San Luis Potosí,0.0,2020-01-07
Sinaloa,0.0,2020-01-07
Sonora,3.0,2020-01-07
Tabasco,1.0,2020-01-07
Tamaulipas,4.0,2020-01-07
Tlaxcala,0.0,2020-01-07
Veracruz,1.0,2020-01-07
Yucatán,0.0,2020-01-07
Zacatecas,1.0,2020-01-07
Total,77.0,2020-01-07
Aguascalientes,0.0,2020-01-08
Baja California,5.0,2020-01-08
Baja California Sur,0.0,2020-01-08
Campeche,0.0,2020-01-08
Chiapas,2.0,2020-01-08
Chihuahua,3.0,2020-01-08
Ciudad de México,3.0,2020-01-08
Coahuila,0.0,2020-01-08
Colima,1.0,2020-01-08
Durango,0.0,2020-01-08
Estado de México,5.0,2020-01-08
Guanajuato,12.0,2020-01-08
Guerrero,3.0,2020-01-08
Hidalgo,1.0,2020-01-08
Jalisco,5.0,2020-01-08
Michoacán,3.0,2020-01-08
Morelos,0.0,2020-01-08
Nayarit,2.0,2020-01-08
Nuevo León,2.0,2020-01-08
Oaxaca,4.0,2020-01-08
Puebla,0.0,2020-01-08
Querétaro,0.0,2020-01-08
Quintana Roo,2.0,2020-01-08
San Luis Potosí,1.0,2020-01-08
Sinaloa,1.0,2020-01-08
Sonora,3.0,2020-01-08
Tabasco,0.0,2020-01-08
Tamaulipas,7.0,2020-01-08
Tlaxcala,0.0,2020-01-08
Veracruz,5.0,2020-01-08
Yucatán,0.0,2020-01-08
Zacatecas,1.0,2020-01-08
Total,71.0,2020-01-08
Aguascalientes,0.0,2020-01-09
Baja California,5.0,2020-01-09
Baja California Sur,0.0,2020-01-09
Campeche,0.0,2020-01-09
Chiapas,2.0,2020-01-09
Chihuahua,2.0,2020-01-09
Ciudad de México,2.0,2020-01-09
Coahuila,9.0,2020-01-09
Colima,3.0,2020-01-09
Durango,0.0,2020-01-09
Estado de México,9.0,2020-01-09
Guanajuato,12.0,2020-01-09
Guerrero,4.0,2020-01-09
Hidalgo,0.0,2020-01-09
Jalisco,10.0,2020-01-09
Michoacán,10.0,2020-01-09
Morelos,3.0,2020-01-09
Nayarit,0.0,2020-01-09
Nuevo León,4.0,2020-01-09
Oaxaca,4.0,2020-01-09
Puebla,3.0,2020-01-09
Querétaro,0.0,2020-01-09
Quintana Roo,4.0,2020-01-09
San Luis Potosí,0.0,2020-01-09
Sinaloa,0.0,2020-01-09
Sonora,1.0,2020-01-09
Tabasco,1.0,2020-01-09
Tamaulipas,1.0,2020-01-09
Tlaxcala,0.0,2020-01-09
Veracruz,4.0,2020-01-09
Yucatán,0.0,2020-01-09
Zacatecas,0.0,2020-01-09
Total,93.0,2020-01-09
Aguascalientes,1.0,2020-01-10
Baja California,3.0,2020-01-10
Baja California Sur,0.0,2020-01-10
Campeche,0.0,2020-01-10
Chiapas,1.0,2020-01-10
Chihuahua,1.0,2020-01-10
Ciudad de México,1.0,2020-01-10
Coahuila,4.0,2020-01-10
Colima,2.0,2020-01-10
Durango,0.0,2020-01-10
Estado de México,15.0,2020-01-10
Guanajuato,19.0,2020-01-10
Guerrero,1.0,2020-01-10
Hidalgo,1.0,2020-01-10
Jalisco,10.0,2020-01-10
Michoacán,7.0,2020-01-10
Morelos,1.0,2020-01-10
Nayarit,0.0,2020-01-10
Nuevo León,2.0,2020-01-10
Oaxaca,1.0,2020-01-10
Puebla,2.0,2020-01-10
Querétaro,0.0,2020-01-10
Quintana Roo,2.0,2020-01-10
San Luis Potosí,1.0,2020-01-10
Sinaloa,0.0,2020-01-10
Sonora,1.0,2020-01-10
Tabasco,0.0,2020-01-10
Tamaulipas,1.0,2020-01-10
Tlaxcala,0.0,2020-01-10
Veracruz,3.0,2020-01-10
Yucatán,1.0,2020-01-10
Zacatecas,1.0,2020-01-10
Total,82.0,2020-01-10
Aguascalientes,0.0,2020-01-11
Baja California,7.0,2020-01-11
Baja California Sur,0.0,2020-01-11
Campeche,0.0,2020-01-11
Chiapas,5.0,2020-01-11
Chihuahua,0.0,2020-01-11
Ciudad de México,5.0,2020-01-11
Coahuila,0.0,2020-01-11
Colima,3.0,2020-01-11
Durango,0.0,2020-01-11
Estado de México,12.0,2020-01-11
Guanajuato,14.0,2020-01-11
Guerrero,2.0,2020-01-11
Hidalgo,0.0,2020-01-11
Jalisco,5.0,2020-01-11
Michoacán,7.0,2020-01-11
Morelos,2.0,2020-01-11
Nayarit,0.0,2020-01-11
Nuevo León,2.0,2020-01-11
Oaxaca,3.0,2020-01-11
Puebla,3.0,2020-01-11
Querétaro,0.0,2020-01-11
Quintana Roo,3.0,2020-01-11
San Luis Potosí,2.0,2020-01-11
Sinaloa,4.0,2020-01-11
Sonora,0.0,2020-01-11
Tabasco,2.0,2020-01-11
Tamaulipas,1.0,2020-01-11
Tlaxcala,0.0,2020-01-11
Veracruz,3.0,2020-01-11
Yucatán,0.0,2020-01-11
Zacatecas,2.0,2020-01-11
Total,87.0,2020-01-11
Aguascalientes,0.0,2020-01-12
Baja California,4.0,2020-01-12
Baja California Sur,0.0,2020-01-12
Campeche,0.0,2020-01-12
Chiapas,0.0,2020-01-12
Chihuahua,2.0,2020-01-12
Ciudad de México,5.0,2020-01-12
Coahuila,1.0,2020-01-12
Colima,2.0,2020-01-12
Durango,0.0,2020-01-12
Estado de México,8.0,2020-01-12
Guanajuato,12.0,2020-01-12
Guerrero,7.0,2020-01-12
Hidalgo,0.0,2020-01-12
Jalisco,6.0,2020-01-12
Michoacán,4.0,2020-01-12
Morelos,1.0,2020-01-12
Nayarit,0.0,2020-01-12
Nuevo León,4.0,2020-01-12
Oaxaca,3.0,2020-01-12
Puebla,4.0,2020-01-12
Querétaro,0.0,2020-01-12
Quintana Roo,4.0,2020-01-12
San Luis Potosí,0.0,2020-01-12
Sinaloa,3.0,2020-01-12
Sonora,0.0,2020-01-12
Tabasco,2.0,2020-01-12
Tamaulipas,1.0,2020-01-12
Tlaxcala,0.0,2020-01-12
Veracruz,1.0,2020-01-12
Yucatán,0.0,2020-01-12
Zacatecas,0.0,2020-01-12
Total,74.0,2020-01-12
Aguascalientes,0.0,2020-01-13
Baja California,4.0,2020-01-13
Baja California Sur,0.0,2020-01-13
Campeche,0.0,2020-01-13
Chiapas,2.0,2020-01-13
Chihuahua,4.0,2020-01-13
Ciudad de México,3.0,2020-01-13
Coahuila,0.0,2020-01-13
Colima,1.0,2020-01-13
Durango,0.0,2020-01-13
Estado de México,6.0,2020-01-13
Guanajuato,16.0,2020-01-13
Guerrero,3.0,2020-01-13
Hidalgo,1.0,2020-01-13
Jalisco,10.0,2020-01-13
Michoacán,2.0,2020-01-13
Morelos,2.0,2020-01-13
Nayarit,0.0,2020-01-13
Nuevo León,1.0,2020-01-13
Oaxaca,6.0,2020-01-13
Puebla,4.0,2020-01-13
Querétaro,0.0,2020-01-13
Quintana Roo,3.0,2020-01-13
San Luis Potosí,4.0,2020-01-13
Sinaloa,1.0,2020-01-13
Sonora,3.0,2020-01-13
Tabasco,4.0,2020-01-13
Tamaulipas,2.0,2020-01-13
Tlaxcala,0.0,2020-01-13
Veracruz,2.0,2020-01-13
Yucatán,0.0,2020-01-13
Zacatecas,2.0,2020-01-13
Total,86.0,2020-01-13
Aguascalientes,0.0,2020-01-14
Baja California,4.0,2020-01-14
Baja California Sur,0.0,2020-01-14
Campeche,0.0,2020-01-14
Chiapas,1.0,2020-01-14
Chihuahua,2.0,2020-01-14
Ciudad de México,8.0,2020-01-14
Coahuila,2.0,2020-01-14
Colima,2.0,2020-01-14
Durango,1.0,2020-01-14
Estado de México,6.0,2020-01-14
Guanajuato,11.0,2020-01-14
Guerrero,2.0,2020-01-14
Hidalgo,0.0,2020-01-14
Jalisco,6.0,2020-01-14
