Entidad,Homicidios,Fecha
Aguascalientes,1,2020-11-30
Baja California,4,2020-11-30
Baja California Sur,0,2020-11-30
Campeche,0,2020-11-30
Chiapas,3,2020-11-30
Chihuahua,3,2020-11-30
Ciudad de México,4,2020-11-30
Coahuila,3,2020-11-30
Colima,1,2020-11-30
Durango,1,2020-11-30
Estado de México,7,2020-11-30
Guanajuato,11,2020-11-30
Guerrero,1,2020-11-30
Hidalgo,2,2020-11-30
Jalisco,7,2020-11-30
Michoacán,7,2020-11-30
Morelos,2,2020-11-30
Nayarit,0,2020-11-30
Nuevo León,1,2020-11-30
Oaxaca,3,2020-11-30
Puebla,5,2020-11-30
Querétaro,0,2020-11-30
Quintana Roo,3,2020-11-30
San Luis Potosí,1,2020-11-30
Sinaloa,1,2020-11-30
Sonora,0,2020-11-30
Tabasco,3,2020-11-30
Tamaulipas,1,2020-11-30
Tlaxcala,0,2020-11-30
Veracruz,1,2020-11-30
Yucatán,0,2020-11-30
Zacatecas,3,2020-11-30
