Entidad,Homicidios,Fecha
Baja California,2,2020-10-29
Baja California Sur,0,2020-10-29
Campeche,1,2020-10-29
Chiapas,0,2020-10-29
Chihuahua,3,2020-10-29
Ciudad de México,3,2020-10-29
Coahuila,0,2020-10-29
Colima,0,2020-10-29
Durango,0,2020-10-29
Estado de México,6,2020-10-29
Guanajuato,4,2020-10-29
Guerrero,2,2020-10-29
Hidalgo,0,2020-10-29
Jalisco,5,2020-10-29
Michoacán,10,2020-10-29
Nayarit,0,2020-10-29
Nuevo León,1,2020-10-29
Oaxaca,0,2020-10-29
Puebla,1,2020-10-29
Querétaro,1,2020-10-29
Quintana Roo,3,2020-10-29
San Luis Potosí,0,2020-10-29
Sinaloa,0,2020-10-29
Sonora,1,2020-10-29
Tabasco,0,2020-10-29
Tamaulipas,4,2020-10-29
Tlaxcala,1,2020-10-29
Veracruz,0,2020-10-29
Yucatán,0,2020-10-29
Zacatecas,0,2020-10-29
