Entidad,Homicidios,Fecha
Aguascalientes,0.0,2020-09-17
Baja California,2.0,2020-09-17
Baja California Sur,0.0,2020-09-17
Campeche,0.0,2020-09-17
Chiapas,1.0,2020-09-17
Chihuahua,3.0,2020-09-17
Ciudad de México,3.0,2020-09-17
Coahuila,0.0,2020-09-17
Colima,1.0,2020-09-17
Durango,0.0,2020-09-17
Estado de México,5.0,2020-09-17
Guanajuato,15.0,2020-09-17
Guerrero,4.0,2020-09-17
Hidalgo,0.0,2020-09-17
Jalisco,5.0,2020-09-17
Michoacán,5.0,2020-09-17
Morelos,0.0,2020-09-17
Nayarit,0.0,2020-09-17
Nuevo León,0.0,2020-09-17
Oaxaca,3.0,2020-09-17
Puebla,1.0,2020-09-17
Querétaro,0.0,2020-09-17
Quintana Roo,2.0,2020-09-17
San Luis Potosí,1.0,2020-09-17
Sinaloa,3.0,2020-09-17
Sonora,1.0,2020-09-17
Tabasco,2.0,2020-09-17
Tamaulipas,1.0,2020-09-17
Tlaxcala,1.0,2020-09-17
Veracruz,0.0,2020-09-17
Yucatán,0.0,2020-09-17
Zacatecas,6.0,2020-09-17
