Entidad,Homicidios,Fecha
Aguascalientes,1,2021-01-26
Baja California,4,2021-01-26
Baja California Sur,0,2021-01-26
Campeche,2,2021-01-26
Chiapas,3,2021-01-26
Chihuahua,6,2021-01-26
Ciudad de México,2,2021-01-26
Coahuila,0,2021-01-26
Colima,1,2021-01-26
Durango,0,2021-01-26
Estado de México,2,2021-01-26
Guanajuato,12,2021-01-26
Guerrero,2,2021-01-26
Hidalgo,0,2021-01-26
Jalisco,11,2021-01-26
Michoacán,6,2021-01-26
Morelos,3,2021-01-26
Nayarit,1,2021-01-26
Nuevo León,3,2021-01-26
Oaxaca,2,2021-01-26
Puebla,1,2021-01-26
Querétaro,0,2021-01-26
Quintana Roo,1,2021-01-26
San Luis Potosí,0,2021-01-26
Sinaloa,0,2021-01-26
Sonora,4,2021-01-26
Tabasco,0,2021-01-26
Tamaulipas,1,2021-01-26
Tlaxcala,0,2021-01-26
Veracruz,1,2021-01-26
Yucatán,0,2021-01-26
Zacatecas,1,2021-01-26
