Entidad,Homicidios,Fecha
Aguascalientes,0,2021-03-02
Baja California,2,2021-03-02
Baja California Sur,0,2021-03-02
Campeche,0,2021-03-02
Chiapas,3,2021-03-02
Chihuahua,5,2021-03-02
Ciudad de México,3,2021-03-02
Coahuila,0,2021-03-02
Colima,0,2021-03-02
Durango,1,2021-03-02
Estado de México,4,2021-03-02
Guanajuato,6,2021-03-02
Guerrero,3,2021-03-02
Hidalgo,0,2021-03-02
Jalisco,10,2021-03-02
Michoacán,4,2021-03-02
Morelos,2,2021-03-02
Nayarit,2,2021-03-02
Nuevo León,2,2021-03-02
Oaxaca,2,2021-03-02
Puebla,1,2021-03-02
Querétaro,0,2021-03-02
Quintana Roo,1,2021-03-02
San Luis Potosí,3,2021-03-02
Sinaloa,1,2021-03-02
Sonora,1,2021-03-02
Tabasco,0,2021-03-02
Tamaulipas,10,2021-03-02
Tlaxcala,0,2021-03-02
Veracruz,5,2021-03-02
Yucatán,0,2021-03-02
Zacatecas,2,2021-03-02
