Entidad,Homicidios,Fecha
Aguascalientes,0,2021-02-01
Baja California,8,2021-02-01
Baja California Sur,0,2021-02-01
Campeche,0,2021-02-01
Chiapas,0,2021-02-01
Chihuahua,4,2021-02-01
Ciudad de México,2,2021-02-01
Coahuila,0,2021-02-01
Colima,2,2021-02-01
Durango,0,2021-02-01
Estado de México,9,2021-02-01
Guanajuato,5,2021-02-01
Guerrero,2,2021-02-01
Hidalgo,0,2021-02-01
Jalisco,5,2021-02-01
Michoacán,9,2021-02-01
Morelos,2,2021-02-01
Nayarit,0,2021-02-01
Nuevo León,7,2021-02-01
Oaxaca,2,2021-02-01
Puebla,3,2021-02-01
Querétaro,0,2021-02-01
Quintana Roo,2,2021-02-01
San Luis Potosí,1,2021-02-01
Sinaloa,0,2021-02-01
Sonora,1,2021-02-01
Tabasco,0,2021-02-01
Tamaulipas,1,2021-02-01
Tlaxcala,0,2021-02-01
Veracruz,4,2021-02-01
Yucatán,1,2021-02-01
Zacatecas,4,2021-02-01
Aguascalientes,0,2021-02-02
Baja California,7,2021-02-02
Baja California Sur,0,2021-02-02
Campeche,0,2021-02-02
Chiapas,2,2021-02-02
Chihuahua,2,2021-02-02
Ciudad de México,3,2021-02-02
Coahuila,0,2021-02-02
Colima,5,2021-02-02
Durango,1,2021-02-02
Estado de México,10,2021-02-02
Guanajuato,14,2021-02-02
Guerrero,0,2021-02-02
Hidalgo,0,2021-02-02
Jalisco,8,2021-02-02
Michoacán,4,2021-02-02
Morelos,2,2021-02-02
Nayarit,5,2021-02-02
Nuevo León,3,2021-02-02
Oaxaca,2,2021-02-02
Puebla,0,2021-02-02
Querétaro,0,2021-02-02
Quintana Roo,2,2021-02-02
San Luis Potosí,2,2021-02-02
Sinaloa,3,2021-02-02
Sonora,2,2021-02-02
Tabasco,1,2021-02-02
Tamaulipas,2,2021-02-02
Tlaxcala,1,2021-02-02
Veracruz,2,2021-02-02
Yucatán,0,2021-02-02
Zacatecas,0,2021-02-02
Aguascalientes,0,2021-02-03
Baja California,8,2021-02-03
Baja California Sur,0,2021-02-03
Campeche,1,2021-02-03
Chiapas,0,2021-02-03
Chihuahua,6,2021-02-03
Ciudad de México,0,2021-02-03
Coahuila,3,2021-02-03
Colima,2,2021-02-03
Durango,1,2021-02-03
Estado de México,5,2021-02-03
Guanajuato,9,2021-02-03
Guerrero,5,2021-02-03
Hidalgo,0,2021-02-03
Jalisco,3,2021-02-03
Michoacán,6,2021-02-03
Morelos,2,2021-02-03
Nayarit,0,2021-02-03
Nuevo León,4,2021-02-03
Oaxaca,6,2021-02-03
Puebla,3,2021-02-03
Querétaro,0,2021-02-03
Quintana Roo,0,2021-02-03
San Luis Potosí,3,2021-02-03
Sinaloa,3,2021-02-03
Sonora,0,2021-02-03
Tabasco,1,2021-02-03
Tamaulipas,0,2021-02-03
Tlaxcala,0,2021-02-03
Veracruz,3,2021-02-03
Yucatán,0,2021-02-03
Zacatecas,0,2021-02-03
Aguascalientes,0,2021-02-04
Baja California,6,2021-02-04
Baja California Sur,0,2021-02-04
Campeche,0,2021-02-04
Chiapas,0,2021-02-04
Chihuahua,10,2021-02-04
Ciudad de México,1,2021-02-04
Coahuila,1,2021-02-04
Colima,1,2021-02-04
Durango,0,2021-02-04
Estado de México,2,2021-02-04
Guanajuato,9,2021-02-04
Guerrero,6,2021-02-04
Hidalgo,2,2021-02-04
Jalisco,7,2021-02-04
Michoacán,11,2021-02-04
Morelos,1,2021-02-04
Nayarit,0,2021-02-04
Nuevo León,5,2021-02-04
Oaxaca,4,2021-02-04
Puebla,1,2021-02-04
Querétaro,0,2021-02-04
Quintana Roo,2,2021-02-04
San Luis Potosí,2,2021-02-04
