Entidad,Homicidios,Fecha
Aguascalientes,0.0,2021-03-01
Baja California,4.0,2021-03-01
Baja California Sur,0.0,2021-03-01
Campeche,0.0,2021-03-01
Chiapas,0.0,2021-03-01
Chihuahua,6.0,2021-03-01
Ciudad de México,3.0,2021-03-01
Coahuila,0.0,2021-03-01
Colima,2.0,2021-03-01
Durango,2.0,2021-03-01
Estado de México,5.0,2021-03-01
Guanajuato,9.0,2021-03-01
Guerrero,2.0,2021-03-01
Hidalgo,0.0,2021-03-01
Jalisco,3.0,2021-03-01
Michoacán,6.0,2021-03-01
Morelos,1.0,2021-03-01
Nayarit,0.0,2021-03-01
Nuevo León,2.0,2021-03-01
Oaxaca,3.0,2021-03-01
Puebla,3.0,2021-03-01
Querétaro,1.0,2021-03-01
Quintana Roo,2.0,2021-03-01
San Luis Potosí,4.0,2021-03-01
Sinaloa,0.0,2021-03-01
Sonora,1.0,2021-03-01
Tabasco,1.0,2021-03-01
Tamaulipas,0.0,2021-03-01
Tlaxcala,1.0,2021-03-01
Veracruz,0.0,2021-03-01
Yucatán,0.0,2021-03-01
Zacatecas,1.0,2021-03-01
Aguascalientes,0.0,2021-03-02
Baja California,2.0,2021-03-02
Baja California Sur,0.0,2021-03-02
Campeche,0.0,2021-03-02
Chiapas,3.0,2021-03-02
Chihuahua,5.0,2021-03-02
Ciudad de México,3.0,2021-03-02
Coahuila,0.0,2021-03-02
Colima,0.0,2021-03-02
Durango,1.0,2021-03-02
Estado de México,4.0,2021-03-02
Guanajuato,6.0,2021-03-02
Guerrero,3.0,2021-03-02
Hidalgo,0.0,2021-03-02
Jalisco,10.0,2021-03-02
Michoacán,4.0,2021-03-02
Morelos,2.0,2021-03-02
Nayarit,2.0,2021-03-02
Nuevo León,2.0,2021-03-02
Oaxaca,2.0,2021-03-02
Puebla,1.0,2021-03-02
Querétaro,0.0,2021-03-02
Quintana Roo,1.0,2021-03-02
San Luis Potosí,3.0,2021-03-02
Sinaloa,1.0,2021-03-02
Sonora,1.0,2021-03-02
Tabasco,0.0,2021-03-02
Tamaulipas,10.0,2021-03-02
Tlaxcala,0.0,2021-03-02
Veracruz,5.0,2021-03-02
Yucatán,0.0,2021-03-02
Zacatecas,2.0,2021-03-02
Aguascalientes,0.0,2021-03-03
Baja California,2.0,2021-03-03
Baja California Sur,0.0,2021-03-03
Campeche,0.0,2021-03-03
Chiapas,3.0,2021-03-03
Chihuahua,2.0,2021-03-03
Ciudad de México,2.0,2021-03-03
Coahuila,0.0,2021-03-03
Colima,1.0,2021-03-03
Durango,0.0,2021-03-03
Estado de México,6.0,2021-03-03
Guanajuato,7.0,2021-03-03
Guerrero,3.0,2021-03-03
Hidalgo,3.0,2021-03-03
Jalisco,6.0,2021-03-03
Michoacán,5.0,2021-03-03
Morelos,4.0,2021-03-03
Nayarit,1.0,2021-03-03
Nuevo León,2.0,2021-03-03
Oaxaca,0.0,2021-03-03
Puebla,1.0,2021-03-03
Querétaro,0.0,2021-03-03
Quintana Roo,0.0,2021-03-03
San Luis Potosí,2.0,2021-03-03
Sinaloa,1.0,2021-03-03
Sonora,1.0,2021-03-03
Tabasco,1.0,2021-03-03
Tamaulipas,2.0,2021-03-03
Tlaxcala,0.0,2021-03-03
Veracruz,2.0,2021-03-03
Yucatán,0.0,2021-03-03
Zacatecas,3.0,2021-03-03
Aguascalientes,0.0,2021-03-04
Baja California,4.0,2021-03-04
Baja California Sur,0.0,2021-03-04
Campeche,0.0,2021-03-04
Chiapas,2.0,2021-03-04
Chihuahua,7.0,2021-03-04
Ciudad de México,6.0,2021-03-04
Coahuila,1.0,2021-03-04
Colima,1.0,2021-03-04
Durango,0.0,2021-03-04
Estado de México,4.0,2021-03-04
Guanajuato,8.0,2021-03-04
Guerrero,7.0,2021-03-04
Hidalgo,1.0,2021-03-04
Jalisco,10.0,2021-03-04
Michoacán,8.0,2021-03-04
Morelos,0.0,2021-03-04
Nayarit,0.0,2021-03-04
Nuevo León,0.0,2021-03-04
Oaxaca,0.0,2021-03-04
Puebla,1.0,2021-03-04
Querétaro,1.0,2021-03-04
Quintana Roo,3.0,2021-03-04
San Luis Potosí,1.0,2021-03-04
Sinaloa,0.0,2021-03-04
Sonora,1.0,2021-03-04
Tabasco,2.0,2021-03-04
Tamaulipas,7.0,2021-03-04
Tlaxcala,0.0,2021-03-04
Veracruz,2.0,2021-03-04
Yucatán,0.0,2021-03-04
Zacatecas,4.0,2021-03-04
Aguascalientes,0.0,2021-03-05
Baja California,1.0,2021-03-05
Baja California Sur,0.0,2021-03-05
Campeche,0.0,2021-03-05
Chiapas,0.0,2021-03-05
Chihuahua,5.0,2021-03-05
Ciudad de México,5.0,2021-03-05
Coahuila,0.0,2021-03-05
Colima,1.0,2021-03-05
Durango,0.0,2021-03-05
Estado de México,4.0,2021-03-05
Guanajuato,11.0,2021-03-05
Guerrero,3.0,2021-03-05
Hidalgo,2.0,2021-03-05
Jalisco,12.0,2021-03-05
Michoacán,8.0,2021-03-05
Morelos,6.0,2021-03-05
Nayarit,0.0,2021-03-05
Nuevo León,3.0,2021-03-05
Oaxaca,1.0,2021-03-05
Puebla,4.0,2021-03-05
Querétaro,0.0,2021-03-05
Quintana Roo,1.0,2021-03-05
San Luis Potosí,2.0,2021-03-05
Sinaloa,0.0,2021-03-05
Sonora,2.0,2021-03-05
Tabasco,0.0,2021-03-05
Tamaulipas,2.0,2021-03-05
Tlaxcala,0.0,2021-03-05
Veracruz,2.0,2021-03-05
Yucatán,1.0,2021-03-05
Zacatecas,1.0,2021-03-05
Aguascalientes,0.0,2021-03-06
Baja California,4.0,2021-03-06
Baja California Sur,0.0,2021-03-06
Campeche,0.0,2021-03-06
Chiapas,1.0,2021-03-06
Chihuahua,2.0,2021-03-06
Ciudad de México,5.0,2021-03-06
Coahuila,1.0,2021-03-06
Colima,1.0,2021-03-06
Durango,0.0,2021-03-06
Estado de México,9.0,2021-03-06
Guanajuato,11.0,2021-03-06
Guerrero,2.0,2021-03-06
Hidalgo,0.0,2021-03-06
Jalisco,6.0,2021-03-06
Michoacán,2.0,2021-03-06
Morelos,2.0,2021-03-06
Nayarit,0.0,2021-03-06
Nuevo León,2.0,2021-03-06
Oaxaca,5.0,2021-03-06
Puebla,6.0,2021-03-06
Querétaro,0.0,2021-03-06
